interaction	ligand	receptor	ligand_rank	receptor_rank	interaction_rank
PDYN-OPRD1	PDYN	OPRD1	0.46080760095011875	0.6149425287356322	0.6301020408163265
GDF5-BMPR1B	GDF5	BMPR1B	0.5771971496437055	0.4885057471264368	0.6294642857142857
IL24-IL20RB	IL24	IL20RB	0.9904988123515439	0.28448275862068967	0.6288265306122449
WNT2B-FZD3	WNT2B	FZD3	0.28978622327790976	0.9712643678160919	0.6281887755102041
SST-SSTR3	SST	SSTR3	0.39429928741092635	0.7126436781609196	0.6275510204081632
AREG-ERBB3	AREG	ERBB3	0.31116389548693585	0.9022988505747126	0.6269132653061225
ADM2-CALCRL	ADM2	CALCRL	0.5629453681710214	0.49712643678160917	0.6262755102040817
TF-TFR2	TF	TFR2	0.8764845605700713	0.31896551724137934	0.6256377551020408
DHH-HHIP	DHH	HHIP	0.5463182897862233	0.5114942528735632	0.625
SEMA3B-PLXNA4	SEMA3B	PLXNA4	0.42992874109263657	0.6494252873563219	0.6243622448979592
NPPC-NPR3	NPPC	NPR3	0.5581947743467933	0.5	0.6237244897959183
IL17C-IL17RA	IL17C	IL17RA	0.43942992874109266	0.6350574712643678	0.6230867346938775
FGF13-FGFR3	FGF13	FGFR3	0.30403800475059384	0.9166666666666666	0.6224489795918368
BTC-ERBB4	BTC	ERBB4	0.47030878859857483	0.5919540229885057	0.6218112244897959
BMP6-BMPR2	BMP6	BMPR2	0.3491686460807601	0.7959770114942529	0.6211734693877551
IL1A-IL1RAP	IL1A	IL1RAP	0.41092636579572445	0.6752873563218391	0.6205357142857143
BMP6-AMHR2	BMP6	AMHR2	0.3491686460807601	0.7902298850574713	0.6198979591836735
CXCL13-CCR10	CXCL13	CCR10	0.6033254156769596	0.45689655172413796	0.6192602040816326
TNFSF13-TNFRSF14	TNFSF13	TNFRSF14	0.9382422802850356	0.29310344827586204	0.6186224489795918
BMP7-ACVR1	BMP7	ACVR1	0.4014251781472684	0.6839080459770115	0.6179846938775511
IFNG-MPL	IFNG	MPL	0.6365795724465558	0.43103448275862066	0.6173469387755102
IL36G-IFNAR2	IL36G	IFNAR2	0.44655581947743467	0.6120689655172413	0.6167091836734694
GRP-GRPR	GRP	GRPR	0.48931116389548696	0.5545977011494253	0.6160714285714286
INHBE-ACVR1B	INHBE	ACVR1B	0.29691211401425177	0.9137931034482759	0.6154336734693877
FGF2-FGFR1	FGF2	FGFR1	0.2850356294536817	0.9511494252873564	0.6147959183673469
NXPH2-NRXN1	NXPH2	NRXN1	0.27315914489311166	0.9885057471264368	0.6135204081632653
WNT7B-FZD3	WNT7B	FZD3	0.27790973871733965	0.9712643678160919	0.6128826530612245
INHBE-ACVR2B	INHBE	ACVR2B	0.29691211401425177	0.9080459770114943	0.6122448979591837
TSHB-TSHR	TSHB	TSHR	0.6365795724465558	0.4224137931034483	0.6096938775510204
LHB-TSHR	LHB	TSHR	0.6365795724465558	0.4224137931034483	0.6096938775510204
PTH2-TSHR	PTH2	TSHR	0.6365795724465558	0.4224137931034483	0.6096938775510204
PTH-TSHR	PTH	TSHR	0.6365795724465558	0.4224137931034483	0.6096938775510204
BMP6-BMPR1A	BMP6	BMPR1A	0.3491686460807601	0.7701149425287356	0.6090561224489796
KNG1-BDKRB2	KNG1	BDKRB2	0.47980997624703087	0.5603448275862069	0.6084183673469388
AGT-AGTR1	AGT	AGTR1	0.38004750593824227	0.7068965517241379	0.607780612244898
SEMA3E-PLXND1	SEMA3E	PLXND1	0.4346793349168646	0.617816091954023	0.6071428571428571
FGF2-FGFR4	FGF2	FGFR4	0.2850356294536817	0.9367816091954023	0.6065051020408163
NPY-MC4R	NPY	MC4R	0.997624703087886	0.2672413793103448	0.6058673469387755
FGF10-FGFR2	FGF10	FGFR2	0.36342042755344417	0.7327586206896551	0.6052295918367347
LEFTY2-ACVR1B	LEFTY2	ACVR1B	0.28978622327790976	0.9137931034482759	0.6045918367346939
CCL14-ACKR2	CCL14	ACKR2	0.48931116389548696	0.5402298850574713	0.6014030612244898
CCL23-ACKR2	CCL23	ACKR2	0.48931116389548696	0.5402298850574713	0.6014030612244898
CCL4-ACKR2	CCL4	ACKR2	0.48931116389548696	0.5402298850574713	0.6014030612244898
CCL8-ACKR2	CCL8	ACKR2	0.48931116389548696	0.5402298850574713	0.6014030612244898
CCL19-ACKR2	CCL19	ACKR2	0.48931116389548696	0.5402298850574713	0.6014030612244898
LEFTY2-ACVR2B	LEFTY2	ACVR2B	0.28978622327790976	0.9080459770114943	0.6007653061224489
CXCL8-KDR	CXCL8	KDR	0.9524940617577197	0.27586206896551724	0.6001275510204082
ANGPTL4-TIE1	ANGPTL4	TIE1	0.9049881235154394	0.29022988505747127	0.5994897959183674
IGFL3-IGFLR1	IGFL3	IGFLR1	0.6365795724465558	0.4109195402298851	0.5988520408163265
FGF2-FGFR3	FGF2	FGFR3	0.2850356294536817	0.9166666666666666	0.5982142857142857
TGFA-EGFR	TGFA	EGFR	0.2660332541567696	0.9798850574712644	0.5975765306122449
CCL3-ACKR2	CCL3	ACKR2	0.47980997624703087	0.5402298850574713	0.5969387755102041
NPPA-NPR1	NPPA	NPR1	0.47268408551068886	0.5459770114942529	0.5963010204081632
AGRP-MC1R	AGRP	MC1R	0.48931116389548696	0.5258620689655172	0.5956632653061225
WNT7B-FZD1	WNT7B	FZD1	0.27790973871733965	0.9252873563218391	0.5950255102040817
FGF1-NRP1	FGF1	NRP1	0.332541567695962	0.7729885057471264	0.5943877551020408
CLCF1-IL6ST	CLCF1	IL6ST	0.3087885985748218	0.8304597701149425	0.59375
FGF1-TGFBR3	FGF1	TGFBR3	0.332541567695962	0.7672413793103449	0.5931122448979592
NPS-TSHR	NPS	TSHR	0.6033254156769596	0.4224137931034483	0.5924744897959183
IL20-IL20RB	IL20	IL20RB	0.8954869358669834	0.28448275862068967	0.5918367346938775
PDYN-OPRL1	PDYN	OPRL1	0.46080760095011875	0.5488505747126436	0.5911989795918368
INHBE-ACVR2A	INHBE	ACVR2A	0.29691211401425177	0.8505747126436781	0.5905612244897959
WNT2-FZD4	WNT2	FZD4	0.34679334916864607	0.7241379310344828	0.5899234693877551
PROK2-PROKR1	PROK2	PROKR1	0.6365795724465558	0.3936781609195402	0.5892857142857143
AREG-ERBB2	AREG	ERBB2	0.31116389548693585	0.8045977011494253	0.5886479591836735
PPBP-OPRD1	PPBP	OPRD1	0.40617577197149646	0.6149425287356322	0.5880102040816326
GREM1-KDR	GREM1	KDR	0.9026128266033254	0.27586206896551724	0.5873724489795918
FGF20-FGFR1	FGF20	FGFR1	0.26128266033254155	0.9511494252873564	0.5867346938775511
CCN2-IGF2R	CCN2	IGF2R	0.2494061757719715	0.9942528735632183	0.5860969387755102
WNT10A-FZD3	WNT10A	FZD3	0.25415676959619954	0.9712643678160919	0.5854591836734694
IL1A-IL1R1	IL1A	IL1R1	0.41092636579572445	0.6005747126436781	0.5848214285714286
LEFTY2-ACVR2A	LEFTY2	ACVR2A	0.28978622327790976	0.8505747126436781	0.5841836734693877
POMC-MC4R	POMC	MC4R	0.9168646080760094	0.2672413793103448	0.5835459183673469
CALCA-TSHR	CALCA	TSHR	0.5795724465558195	0.4224137931034483	0.5822704081632653
FGF20-FGFR4	FGF20	FGFR4	0.26128266033254155	0.9367816091954023	0.5816326530612245
CCN2-EGFR	CCN2	EGFR	0.2494061757719715	0.9798850574712644	0.5809948979591837
FGF1-FGFR2	FGF1	FGFR2	0.332541567695962	0.7327586206896551	0.5803571428571429
CCL25-ACKR2	CCL25	ACKR2	0.4489311163895487	0.5402298850574713	0.579719387755102
SEMA3E-NRP2	SEMA3E	NRP2	0.4346793349168646	0.5574712643678161	0.5790816326530612
RSPO4-LGR4	RSPO4	LGR4	0.2755344418052256	0.8793103448275862	0.5784438775510204
CORT-SSTR3	CORT	SSTR3	0.33966745843230406	0.7126436781609196	0.5778061224489796
IGFL1-IGFLR1	IGFL1	IGFLR1	0.5890736342042755	0.4109195402298851	0.5771683673469388
CCL3L1-CCR4	CCL3L1	CCR4	0.5961995249406176	0.4051724137931034	0.576530612244898
TNFSF14-TNFRSF14	TNFSF14	TNFRSF14	0.8218527315914489	0.29310344827586204	0.5758928571428571
GDF9-ACVR1C	GDF9	ACVR1C	0.24228028503562946	0.9913793103448276	0.5752551020408163
TGFA-ERBB3	TGFA	ERBB3	0.2660332541567696	0.9022988505747126	0.5746173469387755
SEMA3B-NRP2	SEMA3B	NRP2	0.42992874109263657	0.5574712643678161	0.5739795918367347
FGF20-FGFR3	FGF20	FGFR3	0.26128266033254155	0.9166666666666666	0.5733418367346939
IL31-IL31RA	IL31	IL31RA	0.6033254156769596	0.39655172413793105	0.5727040816326531
GDF10-BMPR1B	GDF10	BMPR1B	0.48931116389548696	0.4885057471264368	0.5720663265306123
BMP6-ACVR1	BMP6	ACVR1	0.3491686460807601	0.6839080459770115	0.5714285714285714
DKK1-KREMEN2	DKK1	KREMEN2	0.3182897862232779	0.75	0.5707908163265306
ADM2-TSHR	ADM2	TSHR	0.5629453681710214	0.4224137931034483	0.5701530612244898
NTN4-DCC	NTN4	DCC	0.25415676959619954	0.9310344827586207	0.5695153061224489
NPPA-NPR3	NPPA	NPR3	0.47268408551068886	0.5	0.5688775510204082
ADM-ACKR3	ADM	ACKR3	0.8194774346793349	0.28735632183908044	0.5682397959183674
WNT10A-FZD1	WNT10A	FZD1	0.25415676959619954	0.9252873563218391	0.5676020408163265
ADCYAP1-PTH1R	ADCYAP1	PTH1R	0.9833729216152018	0.23850574712643677	0.5669642857142857
NTN1-DCC	NTN1	DCC	0.2517814726840855	0.9310344827586207	0.5663265306122449
WNT6-FZD7	WNT6	FZD7	0.40380047505938244	0.5804597701149425	0.5656887755102041
WNT9A-FZD4	WNT9A	FZD4	0.32304038004750596	0.7241379310344828	0.5650510204081632
FGF10-FGFRL1	FGF10	FGFRL1	0.36342042755344417	0.6408045977011494	0.5644132653061225
EBI3-IL27RA	EBI3	IL27RA	0.4180522565320665	0.5517241379310345	0.5637755102040817
DKK2-KREMEN2	DKK2	KREMEN2	0.30641330166270786	0.75	0.5631377551020408
NTF3-NTRK3	NTF3	NTRK3	0.33729216152019004	0.6781609195402298	0.5625
CALCB-PTH1R	CALCB	PTH1R	0.9548693586698337	0.23850574712643677	0.5618622448979592
WNT8A-FZD8	WNT8A	FZD8	0.6365795724465558	0.3563218390804598	0.5599489795918368
WNT1-FZD8	WNT1	FZD8	0.6365795724465558	0.3563218390804598	0.5599489795918368
WNT3A-FZD8	WNT3A	FZD8	0.6365795724465558	0.3563218390804598	0.5599489795918368
TNFSF13-TNFRSF17	TNFSF13	TNFRSF17	0.9382422802850356	0.2413793103448276	0.5593112244897959
KNG1-PLAUR	KNG1	PLAUR	0.47980997624703087	0.46839080459770116	0.5586734693877551
RLN3-PTH1R	RLN3	PTH1R	0.9406175771971497	0.23850574712643677	0.5580357142857143
NTN1-NEO1	NTN1	NEO1	0.2517814726840855	0.8908045977011494	0.5573979591836735
WNT2-FZD5	WNT2	FZD5	0.34679334916864607	0.646551724137931	0.5567602040816326
PF4-THBD	PF4	THBD	0.4845605700712589	0.46264367816091956	0.5561224489795918
IFNE-IFNAR2	IFNE	IFNAR2	0.3657957244655582	0.6120689655172413	0.5554846938775511
NPY-MTNR1A	NPY	MTNR1A	0.997624703087886	0.22413793103448276	0.5548469387755102
CCL19-CCR10	CCL19	CCR10	0.48931116389548696	0.45689655172413796	0.5535714285714286
CCL8-CCR10	CCL8	CCR10	0.48931116389548696	0.45689655172413796	0.5535714285714286
EGF-ERBB4	EGF	ERBB4	0.37767220902612825	0.5919540229885057	0.5529336734693877
FGF13-FGFR2	FGF13	FGFR2	0.30403800475059384	0.7327586206896551	0.5522959183673469
VEGFD-FLT1	VEGFD	FLT1	0.7980997624703088	0.27873563218390807	0.5516581632653061
GDF9-ACVR1B	GDF9	ACVR1B	0.24228028503562946	0.9137931034482759	0.5510204081632653
LHB-ADCYAP1R1	LHB	ADCYAP1R1	0.6365795724465558	0.34770114942528735	0.548469387755102
TSHB-ADCYAP1R1	TSHB	ADCYAP1R1	0.6365795724465558	0.34770114942528735	0.548469387755102
PTH2-ADCYAP1R1	PTH2	ADCYAP1R1	0.6365795724465558	0.34770114942528735	0.548469387755102
PTH-ADCYAP1R1	PTH	ADCYAP1R1	0.6365795724465558	0.34770114942528735	0.548469387755102
GDF9-TGFBR1	GDF9	TGFBR1	0.24228028503562946	0.9109195402298851	0.5478316326530612
NTN1-UNC5D	NTN1	UNC5D	0.2517814726840855	0.8764367816091954	0.5471938775510204
FGF2-NRP1	FGF2	NRP1	0.2850356294536817	0.7729885057471264	0.5465561224489796
NPS-NPSR1	NPS	NPSR1	0.6033254156769596	0.3649425287356322	0.5459183673469388
VEGFD-KDR	VEGFD	KDR	0.7980997624703088	0.27586206896551724	0.545280612244898
GDF9-ACVR2B	GDF9	ACVR2B	0.24228028503562946	0.9080459770114943	0.5446428571428571
NTN1-UNC5C	NTN1	UNC5C	0.2517814726840855	0.8735632183908046	0.5440051020408163
TNF-TNFRSF1B	TNF	TNFRSF1B	0.8693586698337292	0.25287356321839083	0.5433673469387755
CXCL3-ACKR1	CXCL3	ACKR1	0.2684085510688836	0.8189655172413793	0.5427295918367347
POMC-PTH1R	POMC	PTH1R	0.9168646080760094	0.23850574712643677	0.5420918367346939
BDNF-DDR1	BDNF	DDR1	0.25415676959619954	0.8591954022988506	0.5414540816326531
KNG1-RXFP4	KNG1	RXFP4	0.47980997624703087	0.4540229885057471	0.5408163265306123
PPY-MTNR1A	PPY	MTNR1A	0.9714964370546318	0.22413793103448276	0.5401785714285714
IL22-IL22RA1	IL22	IL22RA1	0.6365795724465558	0.34195402298850575	0.5395408163265306
RLN2-PTH1R	RLN2	PTH1R	0.9121140142517815	0.23850574712643677	0.5389030612244898
NTN4-UNC5A	NTN4	UNC5A	0.25415676959619954	0.853448275862069	0.5382653061224489
TNFSF11-LGR4	TNFSF11	LGR4	0.24465558194774348	0.8793103448275862	0.5376275510204082
NTN1-UNC5A	NTN1	UNC5A	0.2517814726840855	0.853448275862069	0.5369897959183674
CLCF1-LIFR	CLCF1	LIFR	0.3087885985748218	0.6954022988505747	0.5363520408163265
UCN2-CRHR2	UCN2	CRHR2	0.5605700712589073	0.382183908045977	0.5357142857142857
TGFA-ERBB2	TGFA	ERBB2	0.2660332541567696	0.8045977011494253	0.5350765306122449
CSF3-CSF3R	CSF3	CSF3R	0.48931116389548696	0.4367816091954023	0.5338010204081632
CSF2-CSF3R	CSF2	CSF3R	0.48931116389548696	0.4367816091954023	0.5338010204081632
CXCL8-MTNR1A	CXCL8	MTNR1A	0.9524940617577197	0.22413793103448276	0.5331632653061225
WNT9B-FZD4	WNT9B	FZD4	0.29453681710213775	0.7241379310344828	0.5325255102040817
FGF1-FGFRL1	FGF1	FGFRL1	0.332541567695962	0.6408045977011494	0.5318877551020408
WNT2-FZD2	WNT2	FZD2	0.34679334916864607	0.6091954022988506	0.53125
RLN3-MTNR1A	RLN3	MTNR1A	0.9406175771971497	0.22413793103448276	0.5306122448979592
IAPP-PTH1R	IAPP	PTH1R	0.8812351543942993	0.23850574712643677	0.5299744897959183
FGF9-FGFR1	FGF9	FGFR1	0.2209026128266033	0.9511494252873564	0.5293367346938775
WNT2B-FZD4	WNT2B	FZD4	0.28978622327790976	0.7241379310344828	0.5286989795918368
NPS-ADCYAP1R1	NPS	ADCYAP1R1	0.6033254156769596	0.34770114942528735	0.5280612244897959
EDN3-EDNRB	EDN3	EDNRB	1	0.20977011494252873	0.5274234693877551
FGF2-FGFR2	FGF2	FGFR2	0.2850356294536817	0.7327586206896551	0.5267857142857143
WNT1-FZD10	WNT1	FZD10	0.6365795724465558	0.3275862068965517	0.5255102040816326
WNT3A-FZD10	WNT3A	FZD10	0.6365795724465558	0.3275862068965517	0.5255102040816326
WNT5B-FZD3	WNT5B	FZD3	0.21377672209026127	0.9712643678160919	0.5248724489795918
OXT-AVPR1B	OXT	AVPR1B	0.3182897862232779	0.6522988505747126	0.5242346938775511
FGF9-FGFR4	FGF9	FGFR4	0.2209026128266033	0.9367816091954023	0.5235969387755102
GAST-CCKBR	GAST	CCKBR	0.33016627078384797	0.6264367816091954	0.5229591836734694
IL2-IL2RG	IL2	IL2RG	0.6365795724465558	0.32471264367816094	0.5197704081632653
IL21-IL2RG	IL21	IL2RG	0.6365795724465558	0.32471264367816094	0.5197704081632653
IL4-IL2RG	IL4	IL2RG	0.6365795724465558	0.32471264367816094	0.5197704081632653
IL9-IL2RG	IL9	IL2RG	0.6365795724465558	0.32471264367816094	0.5197704081632653
IL13-IL2RG	IL13	IL2RG	0.6365795724465558	0.32471264367816094	0.5197704081632653
PDYN-OPRM1	PDYN	OPRM1	0.46080760095011875	0.4482758620689655	0.5191326530612245
GDF9-ACVR2A	GDF9	ACVR2A	0.24228028503562946	0.8505747126436781	0.5184948979591837
TNFSF15-TNFRSF6B	TNFSF15	TNFRSF6B	0.5961995249406176	0.3448275862068966	0.5178571428571429
POMC-MTNR1A	POMC	MTNR1A	0.9168646080760094	0.22413793103448276	0.517219387755102
CCL25-CCR10	CCL25	CCR10	0.4489311163895487	0.45689655172413796	0.5165816326530612
BDNF-ERBB2	BDNF	ERBB2	0.25415676959619954	0.8045977011494253	0.5159438775510204
BMP8B-BMPR1B	BMP8B	BMPR1B	0.4156769596199525	0.4885057471264368	0.5146683673469388
INHBE-ACVR1	INHBE	ACVR1	0.29691211401425177	0.6839080459770115	0.5146683673469388
FGF9-FGFR3	FGF9	FGFR3	0.2209026128266033	0.9166666666666666	0.514030612244898
TAC4-TACR3	TAC4	TACR3	0.48931116389548696	0.41379310344827586	0.5133928571428571
VIP-PTH1R	VIP	PTH1R	0.8479809976247031	0.23850574712643677	0.5127551020408163
TSLP-IL7R	TSLP	IL7R	0.8907363420427553	0.22701149425287356	0.5121173469387755
CALCA-ADCYAP1R1	CALCA	ADCYAP1R1	0.5795724465558195	0.34770114942528735	0.5108418367346939
WNT4-FZD8	WNT4	FZD8	0.5653206650831354	0.3563218390804598	0.5102040816326531
WNT2-FZD7	WNT2	FZD7	0.34679334916864607	0.5804597701149425	0.5095663265306123
WNT7B-FZD4	WNT7B	FZD4	0.27790973871733965	0.7241379310344828	0.5089285714285714
WNT10B-FZD5	WNT10B	FZD5	0.31116389548693585	0.646551724137931	0.5082908163265306
OXT-OXTR	OXT	OXTR	0.3182897862232779	0.6293103448275862	0.5076530612244898
IL23A-IL12RB1	IL23A	IL12RB1	0.9216152019002375	0.21551724137931033	0.5070153061224489
CCL8-CCR4	CCL8	CCR4	0.48931116389548696	0.4051724137931034	0.5063775510204082
WNT5B-FZD1	WNT5B	FZD1	0.21377672209026127	0.9252873563218391	0.5057397959183674
LTA-EDNRA	LTA	EDNRA	0.5866983372921615	0.33620689655172414	0.5051020408163265
NTF4-NTRK2	NTF4	NTRK2	0.43705463182897863	0.4511494252873563	0.5044642857142857
BMP7-BMPR1B	BMP7	BMPR1B	0.4014251781472684	0.4885057471264368	0.5038265306122449
ADM2-ADCYAP1R1	ADM2	ADCYAP1R1	0.5629453681710214	0.34770114942528735	0.5031887755102041
ADM-PTH1R	ADM	PTH1R	0.8194774346793349	0.23850574712643677	0.5025510204081632
TNFSF12-TNFRSF25	TNFSF12	TNFRSF25	0.29691211401425177	0.6580459770114943	0.5019132653061225
EDA-EDA2R	EDA	EDA2R	0.4655581947743468	0.41954022988505746	0.5012755102040817
INSL5-RXFP4	INSL5	RXFP4	0.42992874109263657	0.4540229885057471	0.5006377551020408
BMP8B-PLAUR	BMP8B	PLAUR	0.4156769596199525	0.46839080459770116	0.5
CCL3-CCR4	CCL3	CCR4	0.47980997624703087	0.4051724137931034	0.49936224489795916
GDF9-BMPR2	GDF9	BMPR2	0.24228028503562946	0.7959770114942529	0.4987244897959184
TNFSF9-TNFRSF9	TNFSF9	TNFRSF9	0.334916864608076	0.5747126436781609	0.49808673469387754
BMP5-ACVRL1	BMP5	ACVRL1	0.9691211401425178	0.19827586206896552	0.49744897959183676
NMS-NMUR1	NMS	NMUR1	0.6365795724465558	0.3017241379310345	0.4968112244897959
DEFB1-CCR6	DEFB1	CCR6	0.8147268408551069	0.23563218390804597	0.4961734693877551
FGF20-FGFR2	FGF20	FGFR2	0.26128266033254155	0.7327586206896551	0.4955357142857143
NGF-ERBB2	NGF	ERBB2	0.2375296912114014	0.8045977011494253	0.49489795918367346
WNT9B-FZD5	WNT9B	FZD5	0.29453681710213775	0.646551724137931	0.4942602040816326
CCL27-ACKR2	CCL27	ACKR2	0.3515439429928741	0.5402298850574713	0.49362244897959184
TGFB1-ACVRL1	TGFB1	ACVRL1	0.9572446555819477	0.19827586206896552	0.492984693877551
WNT10B-FZD2	WNT10B	FZD2	0.31116389548693585	0.6091954022988506	0.4923469387755102
CCL5-MTNR1A	CCL5	MTNR1A	0.8456057007125891	0.22413793103448276	0.4917091836734694
IL12B-IL12RB1	IL12B	IL12RB1	0.8788598574821853	0.21551724137931033	0.49107142857142855
IL5-IL5RA	IL5	IL5RA	0.6033254156769596	0.3132183908045977	0.49043367346938777
CGB8-LHCGR	CGB8	LHCGR	0.6365795724465558	0.2959770114942529	0.48915816326530615
LHB-LHCGR	LHB	LHCGR	0.6365795724465558	0.2959770114942529	0.48915816326530615
IL17C-IL17RE	IL17C	IL17RE	0.43942992874109266	0.4281609195402299	0.4885204081632653
GIP-GIPR	GIP	GIPR	0.19477434679334918	0.9655172413793104	0.48788265306122447
GDF7-BMPR1B	GDF7	BMPR1B	0.3847980997624703	0.4885057471264368	0.4872448979591837
CXCL10-MTNR1A	CXCL10	MTNR1A	0.836104513064133	0.22413793103448276	0.48660714285714285
SHH-PTCH1	SHH	PTCH1	0.21140142517814728	0.8850574712643678	0.48596938775510207
GDF9-BMPR1A	GDF9	BMPR1A	0.24228028503562946	0.7701149425287356	0.48533163265306123
EDA-EDAR	EDA	EDAR	0.4655581947743468	0.3994252873563218	0.4846938775510204
EDN2-EDNRB	EDN2	EDNRB	0.8836104513064132	0.20977011494252873	0.4840561224489796
UCN-CRHR2	UCN	CRHR2	0.4845605700712589	0.382183908045977	0.48341836734693877
GIP-INSR	GIP	INSR	0.19477434679334918	0.9482758620689655	0.48278061224489793
AVP-VIPR1	AVP	VIPR1	0.24703087885985747	0.7413793103448276	0.48214285714285715
CCN2-FGFR2	CCN2	FGFR2	0.2494061757719715	0.7327586206896551	0.4815051020408163
FGF2-FGFRL1	FGF2	FGFRL1	0.2850356294536817	0.6408045977011494	0.48086734693877553
PPBP-OPRM1	PPBP	OPRM1	0.40617577197149646	0.4482758620689655	0.4802295918367347
WNT10B-FZD7	WNT10B	FZD7	0.31116389548693585	0.5804597701149425	0.47959183673469385
CRH-TSHR	CRH	TSHR	0.42755344418052255	0.4224137931034483	0.4789540816326531
TNF-FLT4	TNF	FLT4	0.8693586698337292	0.20689655172413793	0.47831632653061223
WNT7B-FZD5	WNT7B	FZD5	0.27790973871733965	0.646551724137931	0.47767857142857145
EGF-TNFRSF11B	EGF	TNFRSF11B	0.37767220902612825	0.47413793103448276	0.4770408163265306
INSL3-RXFP4	INSL3	RXFP4	0.39429928741092635	0.4540229885057471	0.4764030612244898
CXCL1-ACKR1	CXCL1	ACKR1	0.21852731591448932	0.8189655172413793	0.475765306122449
EGF-AXL	EGF	AXL	0.37767220902612825	0.47126436781609193	0.47512755102040816
CXCL2-MTNR1A	CXCL2	MTNR1A	0.7933491686460807	0.22413793103448276	0.4744897959183674
OSTN-NPR3	OSTN	NPR3	0.35391923990498814	0.5	0.47385204081632654
CXCL2-XCR1	CXCL2	XCR1	0.7933491686460807	0.22126436781609196	0.4732142857142857
BMP8A-TGFBR1	BMP8A	TGFBR1	0.19239904988123516	0.9109195402298851	0.4725765306122449
BMP8A-ACVR2B	BMP8A	ACVR2B	0.19239904988123516	0.9080459770114943	0.4719387755102041
GDNF-EDNRB	GDNF	EDNRB	0.831353919239905	0.20977011494252873	0.47130102040816324
CCL7-ACKR4	CCL7	ACKR4	0.8479809976247031	0.20402298850574713	0.47066326530612246
RSPO1-LGR5	RSPO1	LGR5	0.9406175771971497	0.1839080459770115	0.4700255102040816
FSHB-TSHR	FSHB	TSHR	0.4085510688836104	0.4224137931034483	0.46938775510204084
CCL5-ACKR4	CCL5	ACKR4	0.8456057007125891	0.20402298850574713	0.46875
LTA-TNFRSF14	LTA	TNFRSF14	0.5866983372921615	0.29310344827586204	0.46811224489795916
IL3-CSF2RA	IL3	CSF2RA	0.6365795724465558	0.27011494252873564	0.4674744897959184
BMP6-BMPR1B	BMP6	BMPR1B	0.3491686460807601	0.4885057471264368	0.46683673469387754
PTN-PLXNB2	PTN	PLXNB2	0.19714964370546317	0.8563218390804598	0.46619897959183676
WNT2B-FZD7	WNT2B	FZD7	0.28978622327790976	0.5804597701149425	0.4655612244897959
SEMA3G-NRP2	SEMA3G	NRP2	0.3016627078384798	0.5574712643678161	0.4649234693877551
IL26-IL20RB	IL26	IL20RB	0.5890736342042755	0.28448275862068967	0.4642857142857143
CCL2-ACKR1	CCL2	ACKR1	0.2042755344418052	0.8189655172413793	0.46364795918367346
TNFSF10-TNFRSF10D	TNFSF10	TNFRSF10D	0.22565320665083136	0.7385057471264368	0.4630102040816326
INSL3-TSHR	INSL3	TSHR	0.39429928741092635	0.4224137931034483	0.46237244897959184
CALCA-ACKR3	CALCA	ACKR3	0.5795724465558195	0.28735632183908044	0.4610969387755102
THBS2-NOTCH3	THBS2	NOTCH3	0.2327790973871734	0.7097701149425287	0.4604591836734694
VEGFD-FLT4	VEGFD	FLT4	0.7980997624703088	0.20689655172413793	0.45982142857142855
WNT10A-FZD5	WNT10A	FZD5	0.25415676959619954	0.646551724137931	0.45918367346938777
PENK-OPRK1	PENK	OPRK1	0.1995249406175772	0.8218390804597702	0.4585459183673469
TNFSF18-TNFRSF18	TNFSF18	TNFRSF18	0.9667458432304038	0.16954022988505746	0.45790816326530615
BMP8A-ACVR2A	BMP8A	ACVR2A	0.19239904988123516	0.8505747126436781	0.4572704081632653
CRH-CRHR2	CRH	CRHR2	0.42755344418052255	0.382183908045977	0.4559948979591837
WNT5B-FZD6	WNT5B	FZD6	0.21377672209026127	0.764367816091954	0.4559948979591837
IL5-CSF2RA	IL5	CSF2RA	0.6033254156769596	0.27011494252873564	0.45535714285714285
CCL5-CXCR5	CCL5	CXCR5	0.8456057007125891	0.1925287356321839	0.45471938775510207
FGF9-FGFR2	FGF9	FGFR2	0.2209026128266033	0.7327586206896551	0.45408163265306123
IL19-IL20RB	IL19	IL20RB	0.5676959619952494	0.28448275862068967	0.4534438775510204
AVP-AVPR1B	AVP	AVPR1B	0.24703087885985747	0.6522988505747126	0.4528061224489796
BMP8A-TGFBR2	BMP8A	TGFBR2	0.19239904988123516	0.8362068965517241	0.45216836734693877
CCL27-CCR10	CCL27	CCR10	0.3515439429928741	0.45689655172413796	0.45153061224489793
TAC3-TACR1	TAC3	TACR1	0.20190023752969122	0.7931034482758621	0.45089285714285715
RSPO2-LGR5	RSPO2	LGR5	0.8693586698337292	0.1839080459770115	0.4502551020408163
SHH-PTCH2	SHH	PTCH2	0.21140142517814728	0.7557471264367817	0.44961734693877553
TNFSF9-IL13RA2	TNFSF9	IL13RA2	0.334916864608076	0.47701149425287354	0.4489795918367347
LEFTY1-ACVR1B	LEFTY1	ACVR1B	0.17339667458432304	0.9137931034482759	0.44834183673469385
IL36G-IL1RL2	IL36G	IL1RL2	0.44655581947743467	0.35344827586206895	0.4477040816326531
IL31-OSMR	IL31	OSMR	0.6033254156769596	0.2614942528735632	0.44706632653061223
TGFA-ERBB4	TGFA	ERBB4	0.2660332541567696	0.5919540229885057	0.44642857142857145
