Protein.Ids	Genes	STEM	ND	stemcell_NDislet_proteomics_FC	stemcell_NDislet_proteomics_adj_p_value
Q9NRD1	FBXO6	1139	1749	0.6509238	2.07E-04
Q9Y606	PUS1	9775	12422	0.7869364	2.07E-04
O15027	SEC16A	26542	31704	0.8371907	2.09E-04
Q9H269	VPS16	21638	18862	1.1472047	2.09E-04
Q15276	RABEP1	11925	10471	1.1389138	2.09E-04
Q5VST6	ABHD17B	5587	4121	1.3559012	2.09E-04
Q9UKA4	AKAP11	1600	2422	0.6604076	2.10E-04
Q7L7X3	TAOK1	12409	13866	0.8949128	2.11E-04
P49454	CENPF	249	503	0.4943063	2.12E-04
O00566	MPHOSPH10	5622	8034	0.6997011	2.13E-04
Q53SF7	COBLL1	8624	11305	0.7629142	2.13E-04
Q96EY7	PTCD3	32756	38506	0.8506818	2.13E-04
Q5T2E6	ARMH3	9470	11636	0.8138835	2.13E-04
Q9NZV5	SELENON	2329	1839	1.2663308	2.13E-04
Q06481	APLP2	5718	6962	0.8213694	2.14E-04
Q9H0A8	COMMD4	7120	5367	1.32662	2.14E-04
P49418	AMPH	12958	19216	0.6743336	2.15E-04
P36542	ATP5F1C	188179	245642	0.7660709	2.15E-04
P04080	CSTB	136529	187537	0.7280108	2.15E-04
Q96BN2	TADA1	2953	2312	1.2771483	2.16E-04
Q9Y2I8	WDR37	13611	14973	0.9090181	2.17E-04
Q4KMP7	TBC1D10B	3790	3197	1.1855972	2.17E-04
P25705	ATP5F1A	574313	759169	0.7565023	2.18E-04
Q9BU68	PRR15L	1841	1102	1.6711687	2.17E-04
Q15154	PCM1	10679	13120	0.8139403	2.18E-04
Q15652	JMJD1C	1396	2524	0.5528709	2.18E-04
P06576	ATP5F1B	393104	547958	0.7173983	2.18E-04
P53384	NUBP1	17463	13753	1.2697824	2.19E-04
O00534	VWA5A	60986	91283	0.6681023	2.19E-04
Q9UBS9	SUCO	4785	6603	0.7247363	2.21E-04
Q9NSY1	BMP2K	1684	2987	0.5636452	2.22E-04
Q96JN0	LCOR	2572	793	3.2431674	2.23E-04
Q5TCZ1	SH3PXD2A	3670	2826	1.2987905	2.25E-04
Q8TED1	GPX8	12891	6673	1.9317799	2.25E-04
O43395	PRPF3	28565	25464	1.1217928	2.26E-04
Q9Y6E0	STK24	14003	15527	0.9018759	2.26E-04
O95295	SNAPIN	10321	12495	0.8260637	2.27E-04
Q3KQV9	UAP1L1	7987	13280	0.601436	2.28E-04
Q99570	PIK3R4	7871	9452	0.8327099	2.28E-04
O00468	AGRN	9588	2779	3.4497452	2.31E-04
Q4VCS5	AMOT	3853	2747	1.4027772	2.32E-04
P09914	IFIT1	3238	7198	0.4497551	2.37E-04
Q92552	MRPS27	24726	28771	0.8594152	2.37E-04
Q8IWL3	HSCB	3497	4561	0.7665952	2.38E-04
Q96G03	PGM2	59313	48178	1.2311237	2.38E-04
P28799	GRN	14565	18380	0.792434	2.39E-04
P04920	SLC4A2	3104	2487	1.2482432	2.40E-04
Q8TF74	WIPF2	5782	7147	0.809005	2.41E-04
Q32P28	P3H1	17539	12893	1.3603252	2.41E-04
Q9HBH1	PDF	9578	12779	0.7495574	2.42E-04
P50914	RPL14	126966	150320	0.8446352	2.43E-04
O60493	SNX3	38868	45564	0.8530357	2.43E-04
O60869	EDF1	40325	32282	1.24913	2.43E-04
Q9Y4W6	AFG3L2	45148	58992	0.7653139	2.45E-04
O15488	GYG2	1549	721	2.1476859	2.45E-04
Q7L8C5	SYT13	10086	7052	1.4302491	2.45E-04
P16422	EPCAM	28422	40635	0.6994511	2.46E-04
Q9Y2X3	NOP58	45484	39000	1.1662488	2.46E-04
P17936	IGFBP3	6537	3435	1.9029982	2.46E-04
Q9UBV7	B4GALT7	2706	3641	0.7431355	2.46E-04
Q7L523	RRAGA	38619	46721	0.8266	2.47E-04
Q9HCU4	CELSR2	2183	1577	1.3844955	2.48E-04
Q5VT66	MTARC1	6766	3609	1.8744005	2.51E-04
Q9Y277	VDAC3	113819	132254	0.860609	2.51E-04
P14415	ATP1B2	1725	3446	0.5005307	2.51E-04
P40938	RFC3	7306	4341	1.683154	2.54E-04
P62913	RPL11	93535	106704	0.8765844	2.54E-04
Q9UNW1	MINPP1	19976	16489	1.2114559	2.54E-04
Q3B7J2	GFOD2	8004	6118	1.3083232	2.55E-04
Q8TAD4	SLC30A5	1693	2644	0.6401453	2.57E-04
Q8IZR5	CMTM4	6722	9673	0.6949011	2.57E-04
Q6ZTW0	TPGS1	3033	2270	1.3360939	2.57E-04
Q96PU8	QKI	15728	6242	2.5198512	2.58E-04
Q16637	SMN1	6264	4827	1.2976498	2.59E-04
Q9H8G2	CAAP1	1745	1318	1.324772	2.61E-04
Q96DH6	MSI2	3867	5154	0.7503734	2.61E-04
Q9BX67	JAM3	15182	11645	1.3037417	2.62E-04
O15160	POLR1C	29604	26529	1.1159098	2.62E-04
P54136	RARS1	110806	101400	1.0927514	2.62E-04
O95777	LSM8.00	74475	54608	1.363803	2.63E-04
Q3ZAQ7	VMA21	35146	48211	0.7289948	2.63E-04
P55058	PLTP	20674	12020	1.7198676	2.64E-04
Q02078	MEF2A	1956	2836	0.6899895	2.64E-04
Q13009	TIAM1	3347	6716	0.4983055	2.65E-04
P78406	RAE1	28091	24654	1.1394085	2.65E-04
Q9H0D6	XRN2	29655	25450	1.1652438	2.66E-04
Q9UGU0	TCF20	2185	1718	1.2714686	2.69E-04
Q8TE77	SSH3	4311	7329	0.5881444	2.70E-04
Q9UIV1	CNOT7	6692	5307	1.2609221	2.71E-04
Q15008	PSMD6	83469	75112	1.1112633	2.71E-04
Q9P0K7	RAI14	8830	10996	0.8030088	2.72E-04
Q9HCS7	XAB2	19084	16736	1.1402823	2.72E-04
Q86VM9	ZC3H18	10818	8609	1.256639	2.73E-04
Q96C23	GALM	32888	19268	1.7068919	2.73E-04
Q9UJ68	MSRA	9741	7670	1.2700622	2.73E-04
O14964	HGS	37029	40631	0.9113495	2.74E-04
Q15796	SMAD2	11404	9931	1.1483154	2.74E-04
P22059	OSBP	19672	22647	0.8686475	2.75E-04
Q9ULX3	NOB1	7552	9033	0.8359833	2.75E-04
Q8WUZ0	BCL7C	3214	2376	1.3527502	2.77E-04
P82970	HMGN5	7704	11472	0.6715306	2.78E-04
P62269	RPS18	451394	545934	0.8268293	2.80E-04
Q9P0I2	EMC3	37852	48478	0.7808125	2.81E-04
O75493	CA11	2464	1610	1.5309776	2.82E-04
P67870	CSNK2B	19890	17983	1.1060603	2.82E-04
Q9BTX7	TTPAL	1269	2102	0.6036872	2.83E-04
P54259	ATN1	6311	7914	0.797447	2.83E-04
Q6MZW2	FSTL4	5931	11074	0.5356163	2.84E-04
O00391	QSOX1	30892	40811	0.7569459	2.87E-04
Q9UIA9	XPO7	41633	48307	0.8618316	2.88E-04
P05546	SERPIND1	15165	10833	1.3998563	2.89E-04
Q9NY27	PPP4R2	12262	10533	1.164148	2.89E-04
P21796	VDAC1	169312	212265	0.7976408	2.90E-04
P62750	RPL23A	192844	238231	0.8094819	2.90E-04
Q15051	IQCB1	551	894	0.6156015	2.90E-04
P61966	AP1S1	18773	25993	0.7222128	2.91E-04
Q8N6S5	ARL6IP6	4815	3349	1.4375619	2.91E-04
O60884	DNAJA2	34811	31187	1.1162135	2.94E-04
Q9H8T0	AKTIP	1496	2047	0.7307234	2.94E-04
Q00587	CDC42EP1	2339	5834	0.4009843	2.98E-04
Q5VUJ6	LRCH2	2506	1697	1.4765929	2.98E-04
Q5BJD5	TMEM41B	11136	9411	1.1833285	2.99E-04
Q9NQ50	MRPL40	8942	11166	0.8008419	2.99E-04
Q3ZCQ8	TIMM50	23900	26990	0.8855206	3.01E-04
Q9H0J9	PARP12	5867	7730	0.7589666	3.02E-04
Q8N3D4	EHBP1L1	4089	5340	0.7656496	3.03E-04
Q16539	MAPK14	14231	11379	1.250576	3.03E-04
O43768	ENSA	1558	1180	1.3208214	3.05E-04
Q8IXB1	DNAJC10	22144	17637	1.2555223	3.05E-04
Q92598	HSPH1	53250	45577	1.1683532	3.05E-04
O75448	MED24	1944	1435	1.3546478	3.06E-04
Q9NSK7	C19orf12	3934	2943	1.3367954	3.06E-04
Q9Y3I1	FBXO7	5277	6349	0.8311207	3.06E-04
P21333	FLNA	135731	206605	0.6569585	3.07E-04
P03891	MT-ND2	8628	11446	0.753858	3.09E-04
P17028	ZNF24	13373	11271	1.1865093	3.09E-04
Q9ULL5	PRR12	2449	1875	1.3061603	3.10E-04
Q9Y3C0	WASHC3	6146	8007	0.7675603	3.10E-04
P54105	CLNS1A	11695	9032	1.2948385	3.10E-04
O43325	LYRM1	1659	2598	0.6387361	3.12E-04
Q9Y2D4	EXOC6B	9917	8918	1.111929	3.15E-04
O75923	DYSF	4273	11132	0.3839011	3.16E-04
Q6UXV4	APOOL	17968	22747	0.7899	3.17E-04
Q01101	INSM1	19471	11253	1.7302078	3.19E-04
P50747	HLCS	8081	9623	0.8397699	3.19E-04
Q8IWZ8	SUGP1	6917	5936	1.1652601	3.20E-04
Q96BQ5	CCDC127	9445	12274	0.7695321	3.20E-04
Q9BXB4	OSBPL11	3019	2572	1.1738119	3.20E-04
P40123	CAP2	27979	10889	2.5695474	3.21E-04
Q9NP78	ABCB9	226	644	0.3509035	3.22E-04
P10915	HAPLN1	6640	14948	0.4441783	3.22E-04
P36543	ATP6V1E1	117871	148167	0.7955277	3.26E-04
P30153	PPP2R1A	194601	180253	1.079598	3.27E-04
O75436	VPS26A	41225	49874	0.826578	3.28E-04
Q9HC36	MRM3	7508	8849	0.8484546	3.29E-04
O14929	HAT1	16930	10030	1.6879194	3.30E-04
P50213	IDH3A	83545	122516	0.6819155	3.30E-04
Q96MZ0	GDAP1L1	12066	7451	1.6194277	3.31E-04
Q9BU89	DOHH	3686	4689	0.7859629	3.34E-04
Q9UL54	TAOK2	5168	4584	1.1275531	3.38E-04
Q9NRW7	VPS45	24707	28605	0.8637369	3.41E-04
O15264	MAPK13	48979	69979	0.6999037	3.43E-04
Q13523	PRPF4B	8525	6575	1.2966459	3.51E-04
P19835	CEL	11197	97279	0.1151022	3.56E-04
Q9BQD3	KXD1	1604	2196	0.7303863	3.56E-04
O43516	WIPF1	954	1686	0.5661428	3.58E-04
Q92902	HPS1	826	1491	0.5542297	3.58E-04
P84085	ARF5	136275	114270	1.1925727	3.58E-04
P46060	RANGAP1	34151	37569	0.9090068	3.59E-04
Q16625	OCLN	6063	10453	0.5800801	3.59E-04
O75175	CNOT3	15219	13337	1.1411225	3.61E-04
Q9UH73	EBF1	1147	558	2.0562168	3.62E-04
Q9H7H0	METTL17	4036	2862	1.4102347	3.66E-04
Q5TZA2	CROCC	10730	12377	0.8669347	3.68E-04
P82933	MRPS9	16403	18918	0.8670686	3.68E-04
O14920	IKBKB	5812	6738	0.8626308	3.68E-04
Q6ZSS7	MFSD6	4804	6712	0.7156963	3.69E-04
Q14562	DHX8	6522	5610	1.1626509	3.73E-04
Q9BUL9	RPP25	2158	3063	0.7045129	3.73E-04
Q86X27	RALGPS2	2091	1638	1.2766953	3.73E-04
Q8N5I4	DHRSX	3055	4752	0.642981	3.74E-04
Q8NFW8	CMAS	41510	47906	0.8664849	3.74E-04
Q92545	TMEM131	5395	4335	1.2445185	3.75E-04
Q9H267	VPS33B	12693	11270	1.1262387	3.80E-04
O75208	COQ9	15656	19661	0.7962669	3.83E-04
Q9UNH6	SNX7	6423	5418	1.1855087	3.88E-04
Q99571	P2RX4	8829	12521	0.7051148	3.89E-04
P14625	HSP90B1	662173	862403	0.767823	3.92E-04
Q8NBP5	MFSD9	1187	661	1.7964216	3.94E-04
Q9BZH6	WDR11	12562	15129	0.8303109	3.95E-04
Q969M3	YIPF5	18164	22719	0.7995248	3.95E-04
Q8N954	GPATCH11	2777	3653	0.7600989	3.95E-04
P41212	ETV6	1739	1326	1.3116969	3.97E-04
Q92560	BAP1	2045	1568	1.3038885	3.98E-04
P32321	DCTD	6072	7548	0.8043975	3.99E-04
Q9UI09	NDUFA12	30609	40390	0.7578283	3.99E-04
P43405	SYK	2491	5465	0.4558878	4.00E-04
P60033	CD81	5049	6865	0.7354358	4.00E-04
O95202	LETM1	41787	32685	1.2784683	4.01E-04
P34949	MPI	20307	26088	0.7784247	4.01E-04
P52815	MRPL12	14556	20474	0.7109382	4.02E-04
Q7Z3E2	CCDC186	5430	6538	0.8305623	4.03E-04
Q8NFZ0	FBH1	1897	2331	0.8140455	4.03E-04
Q96AA3	RFT1	10400	13621	0.7635546	4.03E-04
Q6ZNW5	GDPGP1	4857	5761	0.8429868	4.03E-04
Q9H5Z1	DHX35	2440	1732	1.408383	4.04E-04
Q9Y4E6	WDR7	20706	25552	0.8103326	4.04E-04
Q99519	NEU1	28539	18764	1.5209994	4.05E-04
Q8WVY7	UBLCP1	19515	15106	1.2918147	4.09E-04
Q13490	BIRC2	5719	4935	1.1588464	4.10E-04
Q15746	MYLK	5249	20992	0.2500498	4.15E-04
P35998	PSMC2	97489	91169	1.0693163	4.16E-04
Q7Z7E8	UBE2Q1	11385	9685	1.1754601	4.17E-04
O15439	ABCC4	3896	5392	0.7225549	4.18E-04
Q96PK6	RBM14	77920	69883	1.1150089	4.18E-04
Q8IYI6	EXOC8	16604	18527	0.8961826	4.18E-04
Q6IN84	MRM1	2632	3692	0.7128495	4.21E-04
Q9UJH8	METRN	6199	8343	0.7430517	4.21E-04
Q9NQT8	KIF13B	15104	18285	0.8260198	4.23E-04
Q8N0V3	RBFA	2196	3420	0.6419692	4.25E-04
Q3ZCQ3	FAM174B	2988	4780	0.6250747	4.30E-04
P42285	MTREX	24689	21303	1.1589112	4.30E-04
Q9HAV4	XPO5	13752	11164	1.2318411	4.30E-04
Q9Y4D1	DAAM1	5061	3975	1.2733212	4.31E-04
Q5SW96	LDLRAP1	5520	7847	0.7034818	4.33E-04
Q14677	CLINT1	37317	47062	0.7929303	4.34E-04
Q15771	RAB30	3035	4157	0.7301313	4.34E-04
Q53LP3	SOWAHC	2610	3638	0.7174505	4.35E-04
O14618	CCS	27613	22725	1.2151006	4.39E-04
Q99453	PHOX2B	907	668	1.3574182	4.45E-04
O00401	WASL	17333	15677	1.1056065	4.46E-04
Q5MNZ6	WDR45B	4424	3876	1.1413383	4.46E-04
P62277	RPS13	116995	140788	0.8309965	4.47E-04
Q9Y333	LSM2.00	8540	6093	1.4016381	4.51E-04
Q3MHD2	LSM12.00	21717	18998	1.1430807	4.52E-04
Q9Y4P1	ATG4B	1562	1061	1.4719663	4.54E-04
Q96FX7	TRMT61A	5221	6212	0.8405124	4.54E-04
Q13118	KLF10	1278	2144	0.5962409	4.55E-04
P68104	EEF1A1	1289305	1460384	0.8828531	4.55E-04
P78346	RPP30	6239	5211	1.1973574	4.55E-04
Q9H307	PNN	25636	22108	1.1595764	4.59E-04
Q01973	ROR1	4514	3042	1.4835945	4.60E-04
Q63HR2	TNS2	5458	10378	0.5258779	4.63E-04
Q8TDM6	DLG5	5321	4395	1.2108679	4.63E-04
P35030	PRSS3	1393	58873	0.0236636	4.63E-04
P62753	RPS6	212190	243365	0.8719006	4.63E-04
Q6DKK2	TTC19	17213	20169	0.8534352	4.66E-04
Q969S3	ZNF622	4441	5461	0.8130916	4.66E-04
Q8TCT9	HM13	70886	91316	0.7762709	4.67E-04
Q53EL6	PDCD4	52251	42404	1.2322025	4.72E-04
P04062	GBA	65113	50504	1.2892551	4.73E-04
Q9NRX1	PNO1	8612	10758	0.8005976	4.73E-04
Q96CP6	GRAMD1A	3119	4491	0.6944256	4.73E-04
Q93099	HGD	3065	4835	0.6338775	4.73E-04
Q9Y217	MTMR6	8511	10398	0.818565	4.74E-04
Q969Y2	GTPBP3	2880	4181	0.6888933	4.75E-04
O76080	ZFAND5	302	561	0.5375287	4.75E-04
O94967	WDR47	4113	5357	0.7677363	4.76E-04
Q96AQ6	PBXIP1	23654	29672	0.7971766	4.77E-04
P98172	EFNB1	1885	1093	1.7240915	4.77E-04
O60583	CCNT2	3117	2333	1.3358705	4.78E-04
A0A0B4J2D5	GATD3B	56544	74198	0.7620759	4.79E-04
P51572	BCAP31	95015	116113	0.8182901	4.79E-04
Q49AR2	C5orf22	3788	3047	1.2434763	4.80E-04
P0DN76	U2AF1L5	80662	66081	1.2206422	4.81E-04
Q5VUB5	FAM171A1	2288	1381	1.6560331	4.81E-04
Q4V9L6	TMEM119	1332	3996	0.3334344	4.89E-04
P49802	RGS7	5030	3946	1.2747949	4.89E-04
P48047	ATP5PO	151763	196387	0.7727725	4.93E-04
Q9Y6K5	OAS3	6901	9867	0.6994163	4.95E-04
Q99622	C12orf57	1796	2550	0.7045695	4.95E-04
Q9NRK6	ABCB10	26569	19744	1.3457173	5.00E-04
Q96DA2	RAB39B	13146	16833	0.7809531	5.06E-04
Q16584	MAP3K11	7770	5778	1.3447917	5.11E-04
Q86YH6	PDSS2	4323	5135	0.8417774	5.12E-04
P13798	APEH	60480	54339	1.1130103	5.13E-04
Q9UPY8	MAPRE3	28976	37903	0.7644893	5.16E-04
P00395	MT-CO1	16154	23123	0.6986117	5.17E-04
Q5GH72	XKR7	370	211	1.7558643	5.19E-04
Q96AB3	ISOC2	53444	65440	0.8166911	5.20E-04
Q14624	ITIH4	4916	64731	0.0759458	5.20E-04
Q96J02	ITCH	6749	7748	0.8711352	5.21E-04
Q9BY84	DUSP16	12132	9423	1.2874883	5.23E-04
P42568	MLLT3	400	214	1.8743385	5.24E-04
P35237	SERPINB6	126474	165062	0.766222	5.24E-04
Q9BXB5	OSBPL10	4035	5104	0.7906137	5.26E-04
Q8WW43	APH1B	3951	5499	0.7186016	5.25E-04
O95400	CD2BP2	23078	19144	1.2055458	5.30E-04
P13639	EEF2	506192	566530	0.893495	5.30E-04
Q5J8M3	EMC4	13469	16000	0.8418297	5.30E-04
Q8NHM5	KDM2B	5223	4674	1.1174434	5.30E-04
Q9ULH1	ASAP1	11249	13901	0.8091822	5.30E-04
P62312	LSM6.00	43170	32535	1.3269096	5.35E-04
Q719I0	AHSA2P	11494	7829	1.4681654	5.36E-04
Q9UPQ7	PDZRN3	1844	987	1.8675939	5.39E-04
Q9BQQ3	GORASP1	6572	8006	0.8209724	5.43E-04
P10253	GAA	153193	115613	1.3250504	5.44E-04
Q07820	MCL1	1757	2819	0.6235029	5.44E-04
Q9BWJ5	SF3B5	5292	3599	1.4706949	5.44E-04
P22087	FBL	52061	42020	1.2389596	5.45E-04
Q8IZD4	DCP1B	1110	974	1.1388348	5.46E-04
Q9P2R6	RERE	4910	4171	1.1772268	5.46E-04
Q9UQ80	PA2G4	116033	125596	0.9238612	5.46E-04
P43897	TSFM	23604	27948	0.8445672	5.52E-04
Q8TCY9	URGCP	5554	7033	0.7897541	5.54E-04
Q8TEQ0	SNX29	3677	5178	0.7099937	5.58E-04
Q7Z7F0	KHDC4	4544	3760	1.2085623	5.62E-04
O14530	TXNDC9	8683	11164	0.7777595	5.63E-04
Q8IUH5	ZDHHC17	7115	8396	0.8473508	5.63E-04
Q8WUA2	PPIL4	11015	9332	1.1802819	5.64E-04
P11142	HSPA8	679088	616733	1.1011056	5.65E-04
Q6NUK4	REEP3	7493	5531	1.354681	5.76E-04
Q14240	EIF4A2	153263	198224	0.7731806	5.77E-04
Q13724	MOGS	96386	82825	1.1637402	5.77E-04
O95819	MAP4K4	9302	8134	1.1435808	5.78E-04
P0DI81	TRAPPC2	2724	3511	0.7757993	5.97E-04
O75925	PIAS1	4280	3137	1.3644488	5.99E-04
P27635	RPL10	142172	162068	0.8772357	6.03E-04
Q96PE3	INPP4A	9690	11556	0.8385708	6.05E-04
P16615	ATP2A2	149477	80239	1.8628989	6.05E-04
P55196	AFDN	33678	30321	1.1107052	6.05E-04
Q9NV66	TYW1	3485	4300	0.8105094	6.06E-04
Q9Y587	AP4S1	2067	1652	1.251188	6.06E-04
P52569	SLC7A2	59140	83932	0.7046103	6.07E-04
Q9NS86	LANCL2	18763	21128	0.8880539	6.08E-04
Q9NPB8	GPCPD1	1362	960	1.4182515	6.11E-04
O43617	TRAPPC3	44927	50059	0.897473	6.14E-04
Q8WTT2	NOC3L	5068	3856	1.3143607	6.14E-04
P08754	GNAI3	28599	33739	0.8476566	6.16E-04
Q15012	LAPTM4A	1061	1716	0.6182036	6.19E-04
Q9Y5W7	SNX14	2748	2074	1.3251119	6.22E-04
Q96DT6	ATG4C	1069	1575	0.6788441	6.22E-04
Q7Z6K5	ARPIN	19429	22472	0.864581	6.22E-04
Q8NFH3	NUP43	10576	9336	1.1328352	6.24E-04
P54725	RAD23A	18918	22809	0.8294368	6.25E-04
P42226	STAT6	7399	10480	0.7059532	6.30E-04
Q13563	PKD2	6999	5639	1.2412106	6.35E-04
Q9HAP6	LIN7B	9753	6749	1.4451141	6.39E-04
Q8TER0	SNED1	1345	867	1.5516184	6.43E-04
Q96D53	COQ8B	5553	4774	1.1632192	6.63E-04
Q9NQA3	WASH6P	2376	3558	0.6677713	6.65E-04
Q96F25	ALG14	8213	10246	0.8015737	6.65E-04
Q7L0J3	SV2A	39317	28519	1.3786232	6.65E-04
Q10472	GALNT1	12113	10032	1.2074698	6.68E-04
P52294	KPNA1	22930	19537	1.1736745	6.69E-04
P52756	RBM5	7285	6444	1.1304593	6.74E-04
P24468	NR2F2	5551	3093	1.7947793	6.74E-04
Q69YN4	VIRMA	5218	4412	1.1827043	6.79E-04
Q8IUI8	CRLF3	1814	2401	0.755634	6.82E-04
Q969X5	ERGIC1	32966	43628	0.7556037	6.82E-04
Q9NTG7	SIRT3	9945	12888	0.771597	6.83E-04
P47895	ALDH1A3	5131	17807	0.2881395	6.84E-04
O14979	HNRNPDL	83284	71744	1.1608618	6.88E-04
Q96JH7	VCPIP1	3853	4758	0.8097274	6.96E-04
Q86Y39	NDUFA11	42348	54117	0.7825277	6.97E-04
Q8N766	EMC1	58095	67235	0.86407	7.02E-04
Q96GF1	RNF185	13186	15528	0.8492015	7.03E-04
Q08AE8	SPIRE1	1341	1790	0.7491109	7.04E-04
O43772	SLC25A20	32390	39435	0.8213615	7.06E-04
P42677	RPS27	63365	71834	0.8821107	7.08E-04
Q6IAN0	DHRS7B	8176	12179	0.6713014	7.11E-04
Q9UGP5	POLL	570	1095	0.5207541	7.13E-04
Q53HC9	EIPR1	25607	30092	0.8509419	7.15E-04
O43347	MSI1	2322	1751	1.3261019	7.17E-04
Q9Y2U5	MAP3K2	3775	5062	0.7456966	7.20E-04
Q8TCT7	SPPL2B	4200	3133	1.3405422	7.26E-04
Q9HD34	LYRM4	5441	7590	0.7168539	7.30E-04
Q8NC60	NOA1	2205	3273	0.6736256	7.31E-04
Q9H3U1	UNC45A	17170	19983	0.8592309	7.31E-04
Q8N9N2	ASCC1	5343	6296	0.8485545	7.32E-04
Q9NZ72	STMN3	5214	3535	1.4749328	7.37E-04
Q9UBU8	MORF4L1	11906	10256	1.1608285	7.41E-04
O95487	SEC24B	19757	22207	0.8896953	7.41E-04
P09210	GSTA2	96640	220845	0.4375904	7.41E-04
Q9H3U5	MFSD1	10650	13687	0.7781294	7.42E-04
Q9UK41	VPS28	14781	16456	0.8982199	7.43E-04
Q9H0U3	MAGT1	47621	54585	0.8724115	7.45E-04
Q9P016	THYN1	32255	28697	1.1240025	7.45E-04
Q9Y232	CDYL	983	517	1.8990636	7.45E-04
Q8N960	CEP120	1308	2595	0.5041829	7.48E-04
A6ZKI3	RTL8C	9244	7345	1.2584308	7.51E-04
P17600	SYN1	15066	19837	0.7595116	7.52E-04
Q96DU7	ITPKC	3389	4661	0.7270612	7.55E-04
P10809	HSPD1	379986	445640	0.8526748	7.55E-04
Q16644	MAPKAPK3	2111	1726	1.2230084	7.55E-04
O14681	EI24	12339	16301	0.7569528	7.58E-04
O43290	SART1	27521	23837	1.1545727	7.60E-04
Q9Y2Y9	KLF13	1488	998	1.4914441	7.63E-04
P11166	SLC2A1	51275	14297	3.5864721	7.63E-04
Q9Y6A9	SPCS1	14639	19938	0.7341958	7.67E-04
Q6GYQ0	RALGAPA1	7975	9577	0.8327183	7.80E-04
Q9UL26	RAB22A	9704	12242	0.792726	7.85E-04
Q99973	TEP1	949	2258	0.4204394	7.85E-04
Q86SE8	NPM2	9283	12413	0.7478255	7.89E-04
A1L0T0	ILVBL	29642	34893	0.8495058	7.91E-04
Q6ZWJ1	STXBP4	2220	1681	1.3210379	7.93E-04
Q2PPJ7	RALGAPA2	8998	7680	1.1717309	8.01E-04
Q86UT6	NLRX1	14564	18777	0.7756103	8.05E-04
O15551	CLDN3	7898	10092	0.7826111	8.06E-04
Q86UW7	CADPS2	4860	7117	0.6828833	8.09E-04
P57772	EEFSEC	15177	13068	1.1613762	8.17E-04
Q75T13	PGAP1	5642	7374	0.7651472	8.20E-04
P50454	SERPINH1	124937	68007	1.8371167	8.22E-04
P46783	RPS10	68795	82176	0.8371616	8.22E-04
P18615	NELFE	7872	6774	1.162002	8.22E-04
Q9P0V3	SH3BP4	10199	12872	0.7922988	8.26E-04
P78549	NTHL1	3682	2495	1.4759962	8.29E-04
O75354	ENTPD6	1073	1717	0.6249683	8.31E-04
O94955	RHOBTB3	3948	6225	0.6341682	8.32E-04
Q9BX68	HINT2	68375	58983	1.1592206	8.33E-04
P60709	ACTB	2118803	2385705	0.8881243	8.40E-04
Q8WVR3	MAP11	2960	3681	0.8043628	8.43E-04
Q8TDX7	NEK7	16305	13746	1.1861981	8.48E-04
Q9UBS3	DNAJB9	6550	10136	0.6462526	8.49E-04
Q0VDF9	HSPA14	13765	11641	1.182502	8.51E-04
O00213	APBB1	2145	1733	1.2380014	8.56E-04
P62834	RAP1A	164790	205546	0.8017182	8.63E-04
Q9P2L0	WDR35	4210	4961	0.8486372	8.65E-04
O75150	RNF40	12183	10826	1.1253231	8.68E-04
Q9UPW5	AGTPBP1	2087	1612	1.2944804	8.74E-04
P21281	ATP6V1B2	205030	253903	0.8075135	8.73E-04
Q15648	MED1	4091	3323	1.2310562	8.76E-04
P62258	YWHAE	352407	408984	0.8616658	8.76E-04
P55263	ADK	26359	31169	0.8456717	8.82E-04
Q8IY18	SMC5	5537	4075	1.358694	8.83E-04
Q9H4I2	ZHX3	1377	2277	0.60474	8.94E-04
Q96EE3	SEH1L	12361	14415	0.8575002	8.97E-04
Q9UL46	PSME2	88239	104604	0.8435502	8.98E-04
Q8N9M5	TMEM102	1821	3016	0.6039354	9.00E-04
Q8IYB5	SMAP1	17249	20071	0.8593923	9.02E-04
Q9ULT8	HECTD1	9973	11406	0.8743354	9.08E-04
Q13131	PRKAA1	36493	41315	0.883302	9.08E-04
Q9BRS8	LARP6	1605	1161	1.3823399	9.11E-04
Q96FZ7	CHMP6	16750	20149	0.831315	9.13E-04
Q6NXR4	TTI2	1599	1271	1.2579897	9.15E-04
Q99797	MIPEP	13058	15330	0.8517835	9.15E-04
Q96F10	SAT2	7719	5588	1.3812596	9.21E-04
O95336	PGLS	193205	172746	1.1184377	9.23E-04
Q6P1N9	TATDN1	7343	9444	0.777563	9.26E-04
O15040	TECPR2	5109	4158	1.2288668	9.30E-04
P63096	GNAI1	24892	28819	0.8637276	9.30E-04
P62244	RPS15A	261378	297793	0.877718	9.32E-04
P13498	CYBA	3115	4335	0.7185712	9.39E-04
Q99733	NAP1L4	65430	54350	1.2038619	9.40E-04
P17050	NAGA	94031	57682	1.6301592	9.57E-04
Q9Y3A4	RRP7A	1683	1413	1.1914551	9.73E-04
P13473	LAMP2	84715	115623	0.7326817	9.79E-04
P09038	FGF2	3119	5419	0.5755989	9.81E-04
Q15172	PPP2R5A	12327	14753	0.8355932	9.81E-04
Q02742	GCNT1	10262	6558	1.564817	9.86E-04
Q7L5Y1	ENOSF1	9651	12506	0.7716784	9.87E-04
