uniprot	genesymbol	consensus_score	generic_categories	all_categories	receptor_uniprot	receptor_symbol	receptor_references
Q9NZW4	DSPP	2	ecm, ligand	ecm, extracellular, intracellular, ligand, secreted	P05556, P18564	ITGAV_ITGB1, ITGAV_ITGB6, ITGB1, ITGB6	ITGB1 [CellTalkDB:32196115], ITGB6 [connectomeDB2020:27430624]
P35225	IL13	20	ligand	extracellular, intracellular, ligand, secreted, transmembrane	P24394, P31785, P78552, Q14627, Q86XT9	IL13_IL13RA1_IL4R, IL13RA1, IL13RA1_IL4R, IL13RA2, IL13RA2_IL4R, IL2RG, IL4R, TMEM219	IL13RA1 [Baccin2019:1270434311278620;CellTalkDB:12704343;DIP:20223216;DIP:8910586;HPMR:12704343;HPRD:11278629;InnateDB:9013879;IntAct:18243101;IntAct:20223216;LRdb:11;LRdb:12704343;Lit-BM-17:18243101;Lit-BM-17:8910586;SIGNOR:12704343;SignaLink3:10485906;SignaLink3:11867689;SignaLink3:12223527;SignaLink3:12401408;SignaLink3:14610620;SignaLink3:14657224;SignaLink3:15099563;SignaLink3:16243976;SignaLink3:16413922;SignaLink3:17404308;SignaLink3:17485448;SignaLink3:18250477;SignaLink3:18451175;SignaLink3:19833085;SignaLink3:20184663;SignaLink3:20406969;SignaLink3:20510870;SignaLink3:20856220;SignaLink3:21097505;SignaLink3:21115385;SignaLink3:21469115;SignaLink3:21840487;SignaLink3:23124025;SignaLink3:23180781;SignaLink3:23331499;SignaLink3:23390297;SignaLink3:24030977;SignaLink3:24091328;SignaLink3:26192618;SignaLink3:26755705;SignaLink3:27216177;SignaLink3:7512720;SignaLink3:7521688;SignaLink3:7543512;SignaLink3:8910586;SignaLink3:9013879;SignaLink3:9535722;connectomeDB2020:11278629;connectomeDB2020:12704343], IL13RA2 [Baccin2019:1270434311003390;CellPhoneDB:26471366;CellTalkDB:26471366;DIP:20223216;DIP:8663118;HPMR:12704343;HPRD:11003391;ICELLNET:8663118;InnateDB:8663118;IntAct:20223216;IntAct:23972995;IntAct:27629921;LRdb:11;LRdb:12704343;SignaLink3:12223527;SignaLink3:12401408;SignaLink3:14610620;SignaLink3:14657224;SignaLink3:14985454;SignaLink3:15099563;SignaLink3:18250477;SignaLink3:18451175;SignaLink3:20184663;SignaLink3:21097505;SignaLink3:23180781;SignaLink3:23331499;SignaLink3:26192618;SignaLink3:26755705;SignaLink3:8663118;SignaLink3:9535722;connectomeDB2020:11003391;connectomeDB2020:12704343], IL4R [Baccin2019:1270434311709750;CellTalkDB:8920992;DIP:7721786;HPMR:12704343;HPRD:11709756;InnateDB:18243101;InnateDB:8910586;LRdb:12;LRdb:12704343;NetPath:7721786;SIGNOR:12704343;SIGNOR:19880493;connectomeDB2020:11709756;connectomeDB2020:12704343], TMEM219 [CellTalkDB:32103204], IL2RG [CellTalkDB:8920992;Ramilowski2015:8920992;connectomeDB2020:8920992;talklr:8920992]
Q5H8A3	NMS	12	ligand	ligand, secreted	P08913, P48039, Q14831, Q9GZQ4, Q9HB89	ADRA2A, GRM7, MTNR1A, NMUR1, NMUR2	NMUR1 [CellChatDB:29288685;CellTalkDB:15635449;Cellinker:15635449;Cellinker:29288685;Guide2Pharma:15635449;HPRD:15635449;LRdb:15635449;SIGNOR:15635449;connectomeDB2020:15635449;scConnect:15635449], NMUR2 [Baccin2019:1563544915635440;CellChatDB:29288685;CellTalkDB:15635449;Cellinker:15635449;Cellinker:29288685;Guide2Pharma:15635449;LRdb:15635449;SIGNOR:15635449;connectomeDB2020:15635449;scConnect:15635449], ADRA2A [CellTalkDB:32196115], MTNR1A [CellTalkDB:32196115], GRM7 [CellTalkDB:32196115]
P00747	PLG	11	ligand	cell_surface, ecm_regulator, extracellular, intracellular, ligand, secreted	O00254, P00450, P00749, P00750, P01138, P02749, P02751, P05107, P05556, P08254, P11215, P11717, P13726, P14780, P17936, P17948, P25116, P55085, P98164, Q03405, Q13797, Q8TEW0, Q96RI0, Q9HBL7	APOH, CP, F2R, F2RL1, F2RL2, F2RL3, F3, FLT1, FN1, IGF2R, IGFBP3, ITGA9, ITGAD_ITGB2, ITGAM, ITGB1, ITGB2, LRP2, MMP3, MMP9, NGF, PARD3, PLAT, PLAU, PLAUR, PLGRKT	PLAT [HPRD:11928826;SIGNOR:1447176], APOH [HPRD:8460120;HPRD:9596664;SIGNOR:9596664], F2R [Baccin2019:10978167;CellTalkDB:10978167;HPRD:10978167;LRdb:10978167;SIGNOR:10978167;connectomeDB2020:10978167], ITGAM [CellTalkDB:32196115], ITGB1 [CellTalkDB:15247268;Cellinker:15247268;HPMR:15247268;LRdb:15247268;connectomeDB2020:15247268], PLAUR [CellTalkDB:10092105], ITGB2 [CellTalkDB:32196115], IGF2R [NA], F3 [Baccin2019:9490681;Cellinker:9490681;HPRD:9490681;LRdb:9490681;connectomeDB2020:9490681], PLGRKT [CellTalkDB:19897580;Cellinker:19897580;LRdb:19897580;Ramilowski2015:19897580;connectomeDB2020:19897580;talklr:19897580], ITGA9 [CellTalkDB:15247268;Cellinker:15247268;HPMR:15247268;LRdb:15247268;connectomeDB2020:15247268], FLT1 [CellTalkDB:32196115], F2RL1 [Baccin2019:10978167;Baccin2019:12604689;Baccin2019:9020112;CellTalkDB:12604689;Cellinker:10978167;Cellinker:12604689;Cellinker:9020112;HPRD-phos:10978167;HPRD-phos:12604689;HPRD-phos:9020112;HPRD:10978167;HPRD:12604689;HPRD:9020112;LRdb:10978167;LRdb:12604689;LRdb:9020112;connectomeDB2020:10978167;connectomeDB2020:12604689;connectomeDB2020:9020112], F2RL2 [NA], F2RL3 [NA], PARD3 [NA], FN1 [Cellinker:2413022], LRP2 [Baccin2019:10073957], CP [HPRD-phos:146197;HPRD-phos:6582496;HPRD:146197;HPRD:6582496], IGFBP3 [HPRD-phos:7538844;HPRD-phos:8843739;HPRD:7538844;HPRD:8843739;HPRD:9337997;HPRD:9688635], PLAU [HPRD:2829380;HPRD:3920216;HPRD:4226004], NGF [HPRD:11729324], MMP9 [HPRD:9360944], MMP3 [HPRD:9548733]
P41159	LEP	18	ligand	extracellular, intracellular, ligand, secreted	P02741, P48357, P54646, P98164, Q6UXK2	CRP, ISLR2, LEPR, LRP2, PRKAA2	LEPR [Baccin2019:8608603;Baccin2019:9463481;CellTalkDB:9463481;Cellinker:8608603;Cellinker:9463481;DIP:22405007;DIP:9786864;HPMR:9463481;HPRD:8608603;ICELLNET:9463481;LRdb:861;LRdb:9463481;NetPath:12226096;NetPath:9218470;SIGNOR:9463481;SignaLink3:23331499;SignaLink3:9207021;connectomeDB2020:8608603;connectomeDB2020:9463481], LRP2 [CellTalkDB:32196115], ISLR2 [Cellinker:32822567], CRP [HPRD:16582918;NetPath:16582918], PRKAA2 [HPRD:11797013]
P04085	PDGFA	18	ligand	extracellular, intracellular, ligand, ligand_regulator, secreted	P09619, P09958, P16234	FURIN, PDGFRA, PDGFRB	PDGFRA [Baccin2019:152078112544881;CellChatDB:15207812;CellTalkDB:15207811;Cellinker:15207812;Cellinker:28267575;HPRD:2544881;ICELLNET:15207811;ICELLNET:9739761;IntAct:25241761;IntAct:7679113;LRdb:15207811;LRdb:25;Lit-BM-17:11297552;Lit-BM-17:15767546;Lit-BM-17:25241761;Lit-BM-17:2544881;Lit-BM-17:7679113;SIGNOR:11803579;SignaLink3:11803579;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:2544881;connectomeDB2020:15207811;connectomeDB2020:2544881], PDGFRB [CellChatDB:15207812;CellTalkDB:25737405;Cellinker:15207812;Lit-BM-17:7679113], FURIN [HPRD-phos:12670890;HPRD:12670890]
Q02763	TEK	1	adhesion, ligand, receptor	adhesion, cell_adhesion, cell_surface, extracellular, intracellular, ligand, matrix_adhesion, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane	O15123, O15524, O60496, O95841, P08648, P23467, P27986, P29353, P35590, P42229, P51692, P62993, Q06124, Q13588, Q14449, Q14451, Q15389, Q8NFZ5, Q8TEW6, Q9Y264	ANGPT1, ANGPT2, ANGPT4, ANGPTL1, DOK2, DOK4, GRAP, GRB14, GRB2, GRB7, ITGA5, PIK3CA_PIK3R1, PIK3R1, PTPN11, PTPRB, SHC1, SOCS1, STAT5A, STAT5B, TIE1, TNIP2	ANGPT2 [DIP:15893672;DIP:16732286;HPRD:9723709;IntAct:15893672;IntAct:16732286;IntAct:20708158;Lit-BM-17:12427764;Lit-BM-17:15893672;Lit-BM-17:16732286;Lit-BM-17:20708158;Lit-BM-17:25237190;Lit-BM-17:9204896;Lit-BM-17:9723709], ANGPT1 [BioGRID:8980223;HPMR:8980223;HPRD:12427764;HPRD:8980223;HPRD:8980224;HPRD:9723709;IntAct:20708158;IntAct:29106382;Lit-BM-17:12427764;Lit-BM-17:20708158;Lit-BM-17:8980223;Lit-BM-17:9204896;Lit-BM-17:9723709], ANGPT4 [HPRD:10051567], TNIP2 [HPRD:12609966;InnateDB:12609966;Lit-BM-17:12609966;SignaLink3:12609966;SignaLink3:23331499], ANGPTL1 [HPRD:10051567], DOK2 [BioGRID:11689432;BioGRID:9764820;HPRD:9764820;SignaLink3:11689432;SignaLink3:23331499;SignaLink3:9764820], GRAP [SignaLink3:23331499;SignaLink3:7478529], GRB7 [HPRD:10521483;SignaLink3:10521483;SignaLink3:23331499], GRB14 [HPRD:10521483;SignaLink3:20973951;SignaLink3:23331499], PIK3R1 [HPRD:10521483;SIGNOR:14665640], SHC1 [HPRD:14665640;InnateDB:14665640;SIGNOR:14665640], TIE1 [HPRD:10995770], ITGA5 [Cellinker:30185785], PTPRB [HPRD:10557082;InnateDB:12237455], PTPN11 [HPRD:10521483], GRB2 [HPRD:10521483;HPRD:7478529], SOCS1 [HPRD:10022833], STAT5A [HPRD:14726409], STAT5B [HPRD:14726409], DOK4 [HPRD:11470823]
Q9BUR5	APOO	1	ligand	intracellular, ligand, secreted, transmembrane, transmembrane_predicted	Q9NP60, Q9NZN1	IL1RAPL1, IL1RAPL2	IL1RAPL2 [Cellinker:32589946], IL1RAPL1 [Cellinker:32589946]
Q8IUI8	CRLF3	1	ligand, receptor	cell_surface, intracellular, ligand, receptor, secreted	NA	NA	NA
Q969E1	LEAP2	4	ligand	extracellular, ligand, ligand_regulator, secreted	Q92847	GHSR	GHSR [Cellinker:29233536;connectomeDB2020:29233536;scConnect:29233536]
Q96PX8	SLITRK1	1	cell_surface_ligand, ligand, receptor	cell_surface, cell_surface_ligand, extracellular, intracellular, ligand, plasma_membrane_transmembrane, receptor, secreted, transmembrane, transmembrane_predicted	O00300, P23468, Q07075, Q13332	ENPEP, PTPRD, PTPRS, TNFRSF11B	PTPRD [Cellinker:32589946;connectomeDB2020:23345436], PTPRS [Cellinker:32589946;connectomeDB2020:23345436], TNFRSF11B [Cellinker:32589946], ENPEP [Cellinker:32589946]
P21128	ENDOU	2	ligand, secreted_enzyme	intracellular, ligand, secreted, secreted_enzyme, secreted_peptidase	NA	NA	NA
P00450	CP	7	ligand	extracellular, intracellular, ligand, secreted	Q99835, Q9NP59	SLC40A1, SMO	SMO [SIGNOR:16885213], SLC40A1 [CellTalkDB:24921009;LRdb:24921009;Ramilowski2015:24921009;connectomeDB2020:24921009;talklr:24921009]
P0DP73	DEFB130B	1	ligand	ligand, secreted	NA	NA	NA
P01562	IFNA1	15	ligand	extracellular, ligand, secreted	P17181, P20023, P48551, P60568, Q00978	CR2, IFNA2_IFNAR1_IFNAR2, IFNAR1, IFNAR1_IFNAR2, IFNAR2, IL2, IRF9	IFNAR1 [CellTalkDB:11698684;CellTalkDB:21856167;HPMR:11698684;HPRD:7932753;LRdb:11698684;LRdb:79;Ramilowski2015:21856167;SIGNOR:8181059;SignaLink3:23331499;SignaLink3:8181059;connectomeDB2020:11698684;connectomeDB2020:21856167;connectomeDB2020:7932753;talklr:21856167], IFNAR2 [CellTalkDB:11698684;CellTalkDB:21856167;DIP:10395669;HPMR:11698684;LRdb:11698684;Ramilowski2015:21856167;SIGNOR:11278538;SignaLink3:23331499;SignaLink3:8181059;connectomeDB2020:11698684;connectomeDB2020:21856167;talklr:21856167], CR2 [CellTalkDB:16785534;Cellinker:16785534;HPRD:1849076;InnateDB:19164292], IRF9 [HPRD:8454630], IL2 [HPRD:3262520]
P08887	IL6R	1	adhesion, ligand, receptor	adhesion, cell_adhesion, cell_surface, extracellular, intracellular, ligand, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane, transmembrane_predicted	O60674, P12931, P20916, P23458, P40189, P40763, Q6UXG8, Q6UXK2, Q86SU0, Q8N6C8, Q8N967, Q8NHL6, Q9HCN6	BTNL9, GP6, IL6ST, ILDR1, ISLR2, JAK1, JAK2, LILRA3, LILRB1, LRTM2, MAG, SRC, STAT3	IL6ST [HPRD:2788034;InnateDB:14656210;InnateDB:2788034;InnateDB:7744875;InnateDB:8706672;InnateDB:9694899;NetPath:2788034;SIGNOR:11238858;SIGNOR:23663276;SignaLink3:11238858;SignaLink3:23331499], JAK2 [SIGNOR:23869758], LRTM2 [Cellinker:32589946], ILDR1 [Cellinker:32822567], ISLR2 [Cellinker:32822567], BTNL9 [Cellinker:32822567], GP6 [Cellinker:32822567], LILRB1 [Cellinker:32589946], MAG [Cellinker:32822567], LILRA3 [Cellinker:32822567], JAK1 [DOMINO:11557047], STAT3 [HPRD:10982829;ProtMapper:24058749;ProtMapper:28128332], SRC [HPRD:10462375]
P14410	SI	2	ligand	extracellular, intracellular, ligand, plasma_membrane, secreted, transmembrane, transmembrane_predicted	P09619, P16234, P52961	ART1, PDGFRA, PDGFRB	PDGFRA [Baccin2019:152078112544881], PDGFRB [Baccin2019:285049611903042], ART1 [Baccin2019:11498506]
Q8N145	LGI3	2	ecm, ligand	ecm, intracellular, ligand, secreted	O75077, O75955, Q16623, Q9P0K1	ADAM22, ADAM23, FLOT1, STX1A	ADAM22 [connectomeDB2020:20220021], ADAM23 [connectomeDB2020:20220021;connectomeDB2020:22405860], FLOT1 [connectomeDB2020:20461023], STX1A [connectomeDB2020:18760330]
P25445	FAS	1	adhesion, ligand, receptor	adhesion, cell_adhesion, cell_surface, extracellular, intracellular, ligand, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane	P00533, P29350, P55957, Q13158, Q13546, Q99683, Q9UER7, Q9UKL3	BID, CASP8AP2, DAXX, EGFR, FADD, MAP3K5, PTPN6, RIPK1	CASP8AP2 [HPRD:10235259;SPIKE:10235259], DAXX [BioGRID:11773067;BioGRID:14637155;HPRD:11193028;HPRD:11483955;HPRD:9215629;IntAct:11003656;IntAct:11495919;IntAct:25241761;Lit-BM-17:11003656;Lit-BM-17:11495919;Lit-BM-17:11773067;Lit-BM-17:14637155;Lit-BM-17:25241761;Lit-BM-17:9215629;Macrophage:15725726;Macrophage:9215629;Macrophage:9743501;SPIKE:9743501], FADD [CA1:8521815;DIP:19118384;DIP:20935634;DIP:21713032;DIP:26942442;DIP:7538907;DOMINO:7538907;HPRD:17159907;HPRD:19118384;HPRD:7536190;HPRD:7538907;HPRD:9325248;InnateDB:11464215;InnateDB:12721308;InnateDB:15993755;InnateDB:16410793;InnateDB:16762833;InnateDB:9880544;IntAct:16498403;IntAct:17159907;IntAct:18328427;IntAct:19118384;IntAct:20935634;IntAct:21382479;IntAct:25241761;IntAct:7536190;IntAct:7538907;Lit-BM-17:11035039;Lit-BM-17:11717445;Lit-BM-17:12107169;Lit-BM-17:15659383;Lit-BM-17:16498403;Lit-BM-17:17159907;Lit-BM-17:18328427;Lit-BM-17:20935634;Lit-BM-17:21382479;Lit-BM-17:21625644;Lit-BM-17:21803845;Lit-BM-17:22864571;Lit-BM-17:25241761;Lit-BM-17:26186194;Lit-BM-17:27321185;Lit-BM-17:7536190;Lit-BM-17:7538907;Lit-BM-17:8967952;Lit-BM-17:9082980;Lit-BM-17:9325248;MPPI:10196099;Macrophage:15725726;Macrophage:7538907;Macrophage:8967952;ProtMapper:23606538;ProtMapper:25563855;SIGNOR:21959933;SPIKE:7536190;SPIKE:7538907;SPIKE:8967952], RIPK1 [DIP:7538908;HPRD:7538908;HPRD:9740801;SIGNOR:7538908], MAP3K5 [Lit-BM-17:11495919;Lit-BM-17:25241761;SIGNOR:11495919], BID [Lit-BM-17:15659383;Lit-BM-17:25241761], EGFR [HPRD:12586732], PTPN6 [HPRD:11786908]
O95390	GDF11	16	ligand	extracellular, intracellular, ligand, secreted	O00238, P27037, P36894, P36896, P61160, Q13705, Q13873, Q8NER5, Q9H6X2	ACTR2, ACVR1B, ACVR1B_ACVR2A, ACVR1B_ACVR2B, ACVR1C, ACVR2A, ACVR2A_TGFBR1, ACVR2B, ACVR2B_TGFBR1, ANTXR1, BMPR1A, BMPR1B, BMPR2	ACTR2 [SIGNOR:16446785;SignaLink3:16446785;SignaLink3:23331499], ACVR2B [Baccin2019:1241472616845370;CellTalkDB:12414726;HPRD:16845371;LRdb:12414726;LRdb:17;SIGNOR:12414726;SIGNOR:16845371;SignaLink3:16446785;SignaLink3:16845371;SignaLink3:23331499;connectomeDB2020:12414726;connectomeDB2020:16845371], ACVR1B [Baccin2019:12414726;CellTalkDB:12414726;LRdb:12414726;connectomeDB2020:12414726], BMPR2 [CellTalkDB:32196115], BMPR1A [CellTalkDB:32196115], BMPR1B [CellTalkDB:32196115], ACVR2A [Baccin2019:12414726;LRdb:12414726;connectomeDB2020:12414726], ACVR1C [Cellinker:16845371], ANTXR1 [NA]
O95998	IL18BP	1	ligand	extracellular, intracellular, ligand, secreted	P08887, P20916, Q14116, Q8N6C8, Q8N743	IL18, IL6R, KIR3DL3, LILRA3, MAG	IL18 [HPRD:11907126;InnateDB:10023777;InnateDB:10094485;InnateDB:10655506;InnateDB:11278524;InnateDB:11907126;InnateDB:12381835;InnateDB:18203261], LILRA3 [Cellinker:32822567], KIR3DL3 [Cellinker:32822567], IL6R [Cellinker:32822567], MAG [Cellinker:32822567]
Q5JXA9	SIRPB2	1	ligand	cell_surface, ligand, plasma_membrane_transmembrane, secreted, transmembrane, transmembrane_predicted	Q08722	CD47	CD47 [connectomeDB2020:15383453]
Q8TD46	CD200R1	1	adhesion, cell_surface_ligand, ligand, receptor	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, extracellular, intracellular, ligand, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane	P41217	CD200	CD200 [BioGRID:12960329;CellPhoneDB:22020332;HPRD:10981966;HPRD:12960329;Lit-BM-17:12960329;Lit-BM-17:21982860;connectomeDB2020:12960329]
Q6WRI0	IGSF10	1	ecm, ligand	ecm, intracellular, ligand, secreted	P20916, Q5DX21, Q6Q8B3, Q7Z6M3, Q96A28	CD200R1L, IGSF11, MAG, MILR1, SLAMF9	CD200R1L [Cellinker:32822567], IGSF11 [Cellinker:32822567], MAG [Cellinker:32822567], SLAMF9 [Cellinker:32822567], MILR1 [Cellinker:32822567]
Q13740	ALCAM	1	adhesion, cell_surface_ligand, ligand	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, extracellular, intracellular, ligand, plasma_membrane, plasma_membrane_transmembrane, secreted, transmembrane	O00533, O14786, P30203, P32004	CD6, CHL1, L1CAM, NRP1	CD6 [Baccin2019:24496453;BioGRID:7543097;CellPhoneDB:23602662;DIP:26146185;HPRD:7543097;HPRD:9436462;IntAct:24945728;IntAct:26146185;Lit-BM-17:24945728;Lit-BM-17:7543097;connectomeDB2020:23602662], CHL1 [connectomeDB2020:31300520], L1CAM [Baccin2019:22983139;connectomeDB2020:31300520], NRP1 [connectomeDB2020:31300520]
Q01638	IL1RL1	1	adhesion, ligand, receptor	adhesion, cell_adhesion, cell_surface, extracellular, intracellular, ligand, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane, transmembrane_predicted	O95760	IL33	IL33 [DIP:19439663;HPRD:16286016;InnateDB:18450470;InnateDB:19439663;InnateDB:19559631;InnateDB:19836339;InnateDB:23980170]
Q9GZV9	FGF23	16	ligand	extracellular, intracellular, ligand, secreted	P11362, P21802, P22455, P22607, P78562, Q9UEF7	FGFR1, FGFR2, FGFR3, FGFR4, KL, PHEX	FGFR2 [Baccin2019:1608163512032140;CellTalkDB:16597617;Cellinker:12032146;Cellinker:16081635;HPRD:12032146;LRdb:16597617;connectomeDB2020:12032146;connectomeDB2020:16081635], PHEX [Baccin2019:11409890;CellTalkDB:11409890;Cellinker:11409890;HPRD:11409890;LRdb:11409890], KL [CellTalkDB:30451736;connectomeDB2020:30605400], FGFR4 [Baccin2019:16081635;CellTalkDB:16597617;Cellinker:16081635;Cellinker:25772309;LRdb:16597617;connectomeDB2020:16081635], FGFR1 [Baccin2019:16081635;BioGRID:27879395;CellTalkDB:16597617;Cellinker:25772309;DIP:19966287;LRdb:16597617;Lit-BM-17:19966287;Lit-BM-17:22393163;connectomeDB2020:16081635], FGFR3 [Baccin2019:12032146;CellTalkDB:16597617;Cellinker:12032146;Cellinker:25772309;HPRD:12032146;LRdb:16597617;connectomeDB2020:12032146]
P34130	NTF4	19	ligand	extracellular, intracellular, ligand, secreted	P04629, P08138, P23560, Q00994, Q16288, Q16620	BDNF, BEX3, NGFR, NTRK1, NTRK2, NTRK3	NGFR [AlzPathway:9775403;Baccin2019:7541633;CellTalkDB:7541633;Cellinker:7541633;HPRD:7541633;LRdb:7541633;connectomeDB2020:7541633], NTRK1 [Baccin2019:11114882;CellTalkDB:11114882;Cellinker:11114882;LRdb:11114882;SIGNOR:11114882;connectomeDB2020:11114882], NTRK2 [AlzPathway:9775403;Baccin2019:767991211855816;CellChatDB:27908981;CellTalkDB:7679912;Cellinker:11855816;Cellinker:27908981;Cellinker:7679912;HPRD:11855816;LRdb:119;LRdb:7679912;Lit-BM-17:11738045;Lit-BM-17:11855816;Lit-BM-17:25241761;SIGNOR:7679912;connectomeDB2020:11855816;connectomeDB2020:7679912], BEX3 [CellTalkDB:7679912;LRdb:7679912;connectomeDB2020:7679912], NTRK3 [NA], BDNF [IntAct:10631974;IntAct:25241761;IntAct:29997244]
Q9NP70	AMBN	3	ecm, ligand	ecm, extracellular, intracellular, ligand, secreted	P08962	CD63	CD63 [connectomeDB2020:17708745;connectomeDB2020:21149578]
Q6UWQ7	IGFL2	8	ligand	intracellular, ligand, secreted	Q9H665	IGFLR1	IGFLR1 [CellTalkDB:21454693;LRdb:21454693;Ramilowski2015:21454693;connectomeDB2020:21454693;talklr:21454693]
Q2I0M5	RSPO4	13	ecm, ligand	ecm, intracellular, ligand, ligand_regulator, secreted	O75473, Q68DV7, Q9BXB1, Q9HBX8, Q9ULT6	LGR4, LGR4_LRP5, LGR4_LRP6, LGR5, LGR5_LRP5, LGR5_LRP6, LGR6, RNF43, ZNRF3	LGR4 [Baccin2019:2169364621693640;CellTalkDB:21693646;Cellinker:21693646;Guide2Pharma:21693646;LRdb:21693646;Lit-BM-17:24050775;Lit-BM-17:25504990;connectomeDB2020:21693646;scConnect:21693646], LGR5 [Baccin2019:2169364621693640;CellTalkDB:21693646;Cellinker:21693646;Guide2Pharma:21693646;LRdb:21693646;connectomeDB2020:21693646;scConnect:21693646], LGR6 [Baccin2019:21693646;Baccin2019:21727895;CellTalkDB:21727895;Cellinker:21693646;Cellinker:21727895;Guide2Pharma:21693646;Guide2Pharma:21727895;LRdb:21727895;LRdb:22;connectomeDB2020:21693646;connectomeDB2020:21727895;scConnect:21693646;scConnect:21727895], ZNRF3 [Cellinker:29405118], RNF43 [Cellinker:29405118]
Q8N2Q7	NLGN1	6	adhesion, cell_surface_ligand, ligand, receptor	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, extracellular, intracellular, ligand, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane	P58400, P58401, P78352, Q9HDB5, Q9P2S2, Q9ULB1, Q9Y4C0	DLG4, NRXN1, NRXN2, NRXN3	DLG4 [BioGRID:30864948;CA1:9278515;DOMINO:11937501;HPRD:9278515;Lit-BM-17:11937501;Lit-BM-17:9278515;SIGNOR:18923512], NRXN2 [CellTalkDB:7736595;LRdb:7736595;Ramilowski2015:7736595;SIGNOR:18923512;connectomeDB2020:7736595;talklr:7736595], NRXN1 [Baccin2019:14522992;Baccin2019:8576240;BioGRID:12796785;BioGRID:14522992;BioGRID:8576240;CellTalkDB:8576240;Cellinker:14522992;Cellinker:8576240;HPRD:14522992;HPRD:8576240;LRdb:145;LRdb:8576240;SIGNOR:18923512;connectomeDB2020:14522992;connectomeDB2020:8576240], NRXN3 [Baccin2019:8576240;CellTalkDB:8576240;Cellinker:8576240;LRdb:8576240;SIGNOR:18923512;connectomeDB2020:8576240], NRXN1 [Baccin2019:14522992;Baccin2019:8576240;BioGRID:12796785;BioGRID:14522992;BioGRID:8576240;CellTalkDB:8576240;Cellinker:14522992;Cellinker:8576240;HPRD:14522992;HPRD:8576240;LRdb:145;LRdb:8576240;SIGNOR:18923512;connectomeDB2020:14522992;connectomeDB2020:8576240], NRXN2 [CellTalkDB:7736595;LRdb:7736595;Ramilowski2015:7736595;SIGNOR:18923512;connectomeDB2020:7736595;talklr:7736595], NRXN3 [Baccin2019:8576240;CellTalkDB:8576240;Cellinker:8576240;LRdb:8576240;SIGNOR:18923512;connectomeDB2020:8576240]
Q1ZYL8	IZUMO4	0	ligand	intracellular, ligand, secreted	NA	NA	NA
Q15109	AGER	1	adhesion, ligand, receptor	adhesion, cell_adhesion, cell_surface, extracellular, intracellular, ligand, matrix_adhesion, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane	P01106, P05412, P14635, Q86T13	CCNB1, CLEC14A, JUN, MYC	CLEC14A [Cellinker:32589946], JUN [HPRD:10421840], MYC [HPRD:10421840], CCNB1 [HPRD:10421840]
P03971	AMH	19	ligand	extracellular, intracellular, ligand, secreted	O00238, P00533, P36894, Q04771, Q16671, Q9H772	ACVR1, ACVR1_AMHR2, AMHR2, AMHR2_BMPR1A, AMHR2_BMPR1B, BMPR1A, BMPR1B, EGFR, GREM2	AMHR2 [Baccin2019:79972308889695;CellTalkDB:7997230;HPMR:7997230;HPRD:8889695;LRdb:7997230;LRdb:889;SIGNOR:8119126;SignaLink3:16446785;SignaLink3:18988627;SignaLink3:23331499;SignaLink3:8889695;connectomeDB2020:7997230;connectomeDB2020:8889695], BMPR1B [Cellinker:11420127], BMPR1A [NA], ACVR1 [CellTalkDB:14656470;LRdb:14656470;Ramilowski2015:14656470;connectomeDB2020:14656470;talklr:14656470], EGFR [Baccin2019:8596488;CellTalkDB:8596488;Cellinker:8596488;HPRD:8596488;LRdb:8596488;connectomeDB2020:8596488], GREM2 [Cellinker:24614542]
Q9Y5W5	WIF1	2	ligand, receptor	ligand, ligand_regulator, receptor, secreted	O00755, O14904, O96014, P34925, P41221, P56704, P56705, Q9H1J5, Q9H1J7	RYK, WNT11, WNT3A, WNT4, WNT5A, WNT5B, WNT7A, WNT8A, WNT9A	WNT8A [SIGNOR:10201374;SignaLink3:10201374;SignaLink3:23331499], RYK [CellTalkDB:28529460], WNT3A [NetPath:19755491], WNT4 [NetPath:15555925;NetPath:19755491], WNT5A [NetPath:19755491], WNT5B [NetPath:19755491], WNT7A [IntAct:22986341;IntAct:26342861;Lit-BM-17:22986341;Lit-BM-17:26342861;NetPath:19755491], WNT9A [NetPath:19755491], WNT11 [NetPath:19755491]
