source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
Endothelial	Beta	PGF	FLT1	2.3995480982768704e-12	0	PGF_VEGFR1	PGF - VEGFR1	VEGF	Secreted Signaling	KEGG: hsa04370; PMID: 16633338
Pericytes	Beta	PGF	FLT1	2.0720155567829357e-12	0	PGF_VEGFR1	PGF - VEGFR1	VEGF	Secreted Signaling	KEGG: hsa04370; PMID: 16633338
INS/SST	Beta	PGF	FLT1	2.538468928339992e-13	0	PGF_VEGFR1	PGF - VEGFR1	VEGF	Secreted Signaling	KEGG: hsa04370; PMID: 16633338
INS/GCG	Beta	PGF	FLT1	5.826867433196556e-13	0	PGF_VEGFR1	PGF - VEGFR1	VEGF	Secreted Signaling	KEGG: hsa04370; PMID: 16633338
Beta	Beta	PGF	FLT1	6.406427063752465e-12	0	PGF_VEGFR1	PGF - VEGFR1	VEGF	Secreted Signaling	KEGG: hsa04370; PMID: 16633338
Endothelial	Alpha	PGF	FLT1	8.222134769783238e-14	0	PGF_VEGFR1	PGF - VEGFR1	VEGF	Secreted Signaling	KEGG: hsa04370; PMID: 16633338
INS/SST	Immune	VEGFA	FLT1_KDR	4.049780325541031e-16	0.03	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
INS/GCG	Immune	VEGFA	FLT1_KDR	9.733331090020959e-16	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Duct	Duct	VEGFA	FLT1_KDR	1.896099429273767e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Endothelial	Duct	VEGFA	FLT1_KDR	1.4958119907983898e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Pericytes	Duct	VEGFA	FLT1_KDR	4.558254731574091e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
INS/SST	Duct	VEGFA	FLT1_KDR	1.6630678201366855e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
INS/GCG	Duct	VEGFA	FLT1_KDR	3.997053770119602e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Beta	Duct	VEGFA	FLT1_KDR	3.3271742829372096e-13	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Immune	Endothelial	VEGFA	FLT1_KDR	2.3854216762959566e-15	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Duct	Endothelial	VEGFA	FLT1_KDR	1.874368118974633e-13	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Endothelial	Endothelial	VEGFA	FLT1_KDR	1.478668398539277e-13	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Pericytes	Endothelial	VEGFA	FLT1_KDR	4.506012297932424e-13	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
INS/SST	Endothelial	VEGFA	FLT1_KDR	1.6440072977012042e-13	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
INS/GCG	Endothelial	VEGFA	FLT1_KDR	3.9512432897795954e-13	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
PPY	Endothelial	VEGFA	FLT1_KDR	5.158243321914285e-15	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Delta	Endothelial	VEGFA	FLT1_KDR	2.2318295917203006e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Beta	Endothelial	VEGFA	FLT1_KDR	3.2890413368742712e-12	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Alpha	Endothelial	VEGFA	FLT1_KDR	2.103808190899425e-13	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Duct	Pericytes	VEGFA	FLT1_KDR	8.213627844940646e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Endothelial	Pericytes	VEGFA	FLT1_KDR	6.479640692103386e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Pericytes	Pericytes	VEGFA	FLT1_KDR	1.9745698674562348e-13	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
INS/SST	Pericytes	VEGFA	FLT1_KDR	7.204168697040446e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
INS/GCG	Pericytes	VEGFA	FLT1_KDR	1.7314657467260255e-13	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Beta	Pericytes	VEGFA	FLT1_KDR	1.4412836644150134e-12	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
INS/GCG	Acinar	VEGFA	FLT1_KDR	2.605077715065216e-15	0.01	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Duct	INS/SST	VEGFA	FLT1_KDR	1.230592726125523e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Endothelial	INS/SST	VEGFA	FLT1_KDR	9.708010703827055e-15	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Pericytes	INS/SST	VEGFA	FLT1_KDR	2.958365489634429e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
INS/SST	INS/SST	VEGFA	FLT1_KDR	1.0793522379728554e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
INS/GCG	INS/SST	VEGFA	FLT1_KDR	2.594138903862139e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Beta	INS/SST	VEGFA	FLT1_KDR	2.1593785683927047e-13	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Duct	INS/GCG	VEGFA	FLT1_KDR	2.3383530360022652e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Endothelial	INS/GCG	VEGFA	FLT1_KDR	1.8447009982168432e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Pericytes	INS/GCG	VEGFA	FLT1_KDR	5.6214397967962823e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
INS/SST	INS/GCG	VEGFA	FLT1_KDR	2.0509682277431216e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
INS/GCG	INS/GCG	VEGFA	FLT1_KDR	4.9293421396541135e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Beta	INS/GCG	VEGFA	FLT1_KDR	4.103217355409168e-13	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Endothelial	PPY	VEGFA	FLT1_KDR	2.3872531602802268e-15	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
INS/SST	PPY	VEGFA	FLT1_KDR	2.654186444457062e-15	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
INS/GCG	PPY	VEGFA	FLT1_KDR	6.379130066771501e-15	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Endothelial	Delta	VEGFA	FLT1_KDR	9.757780750173836e-15	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
INS/SST	Delta	VEGFA	FLT1_KDR	1.0848857517935896e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
INS/GCG	Delta	VEGFA	FLT1_KDR	2.6074382727469578e-14	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Duct	Beta	VEGFA	FLT1_KDR	5.134251957177871e-13	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Endothelial	Beta	VEGFA	FLT1_KDR	4.0503549142274813e-13	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Pericytes	Beta	VEGFA	FLT1_KDR	1.2342827551927336e-12	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
INS/SST	Beta	VEGFA	FLT1_KDR	4.5032497127127815e-13	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
INS/GCG	Beta	VEGFA	FLT1_KDR	1.082320938675315e-12	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Beta	Beta	VEGFA	FLT1_KDR	9.009311858994376e-12	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
INS/GCG	Alpha	VEGFA	FLT1_KDR	1.052730739090992e-13	0	VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	PMID: 16633338
Duct	Duct	IGF1	IGF1R	6.826615170739867e-16	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Endothelial	Duct	IGF1	IGF1R	3.8437654596371373e-16	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Pericytes	Duct	IGF1	IGF1R	1.7856973896250785e-14	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/SST	Duct	IGF1	IGF1R	7.41351483543252e-16	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/GCG	Duct	IGF1	IGF1R	1.3930707662536592e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
PPY	Duct	IGF1	IGF1R	2.031038542515814e-16	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Delta	Duct	IGF1	IGF1R	8.887928475321838e-16	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Beta	Duct	IGF1	IGF1R	1.3221349659305641e-14	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Endothelial	Endothelial	IGF1	IGF1R	1.3700769133106697e-16	0.03	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Pericytes	Endothelial	IGF1	IGF1R	6.364963714305469e-15	0.01	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/SST	Endothelial	IGF1	IGF1R	2.6424831663572055e-16	0.01	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/GCG	Endothelial	IGF1	IGF1R	4.965480114473768e-16	0.01	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Beta	Endothelial	IGF1	IGF1R	4.712635596848496e-15	0.02	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Duct	Pericytes	IGF1	IGF1R	3.1045270527422163e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Endothelial	Pericytes	IGF1	IGF1R	1.7480220512479085e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Pericytes	Pericytes	IGF1	IGF1R	8.120782723776137e-14	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/SST	Pericytes	IGF1	IGF1R	3.371430318951601e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/GCG	Pericytes	IGF1	IGF1R	6.335241949399295e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
PPY	Pericytes	IGF1	IGF1R	9.236516110398017e-16	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Delta	Pericytes	IGF1	IGF1R	4.0419466608786356e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Beta	Pericytes	IGF1	IGF1R	6.012648532906587e-14	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Endothelial	Acinar	IGF1	IGF1R	9.402405346057236e-17	0.02	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Pericytes	Acinar	IGF1	IGF1R	4.368073666040725e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/SST	Acinar	IGF1	IGF1R	1.8134527783687781e-16	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/GCG	Acinar	IGF1	IGF1R	3.4076522507958836e-16	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Beta	Acinar	IGF1	IGF1R	3.2341330402215455e-15	0.02	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Immune	INS/SST	IGF1	IGF1R	2.1232382619025732e-17	0.03	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Duct	INS/SST	IGF1	IGF1R	3.2364507118189305e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Endothelial	INS/SST	IGF1	IGF1R	1.8223024363803528e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Pericytes	INS/SST	IGF1	IGF1R	8.465866966851492e-14	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Acinar	INS/SST	IGF1	IGF1R	9.90054380314977e-17	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/SST	INS/SST	IGF1	IGF1R	3.51469575555964e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/GCG	INS/SST	IGF1	IGF1R	6.604451488979555e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
PPY	INS/SST	IGF1	IGF1R	9.629012288306187e-16	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Delta	INS/SST	IGF1	IGF1R	4.213704994512763e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Beta	INS/SST	IGF1	IGF1R	6.268149799818924e-14	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Alpha	INS/SST	IGF1	IGF1R	2.760143879644983e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Immune	INS/GCG	IGF1	IGF1R	4.026211400331999e-17	0.03	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Duct	INS/GCG	IGF1	IGF1R	6.137151438133551e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Endothelial	INS/GCG	IGF1	IGF1R	3.455558886561865e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Pericytes	INS/GCG	IGF1	IGF1R	1.6053483354713144e-13	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Acinar	INS/GCG	IGF1	IGF1R	1.8774003391408846e-16	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/SST	INS/GCG	IGF1	IGF1R	6.664776334165125e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/GCG	INS/GCG	IGF1	IGF1R	1.2523755979237962e-14	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
PPY	INS/GCG	IGF1	IGF1R	1.8259109090455524e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Delta	INS/GCG	IGF1	IGF1R	7.99027946648721e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Beta	INS/GCG	IGF1	IGF1R	1.188604059932462e-13	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Alpha	INS/GCG	IGF1	IGF1R	5.233949931189229e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Pericytes	PPY	IGF1	IGF1R	2.3888094716449923e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/SST	PPY	IGF1	IGF1R	9.917399532464532e-17	0.02	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/GCG	PPY	IGF1	IGF1R	1.8635747917982245e-16	0.02	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Pericytes	Delta	IGF1	IGF1R	9.893699751924966e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/SST	Delta	IGF1	IGF1R	4.107475897878908e-16	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/GCG	Delta	IGF1	IGF1R	7.7183424103755e-16	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Immune	Beta	IGF1	IGF1R	1.0599791081955792e-15	0.03	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Duct	Beta	IGF1	IGF1R	1.6157254702820483e-13	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Endothelial	Beta	IGF1	IGF1R	9.097436430175543e-14	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Pericytes	Beta	IGF1	IGF1R	4.226394314129576e-12	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Acinar	Beta	IGF1	IGF1R	4.942624565229083e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/SST	Beta	IGF1	IGF1R	1.754633071288555e-13	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/GCG	Beta	IGF1	IGF1R	3.297124361889275e-13	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
PPY	Beta	IGF1	IGF1R	4.8070685430371764e-14	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Delta	Beta	IGF1	IGF1R	2.103597764991949e-13	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Beta	Beta	IGF1	IGF1R	3.1292332820416987e-12	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Alpha	Beta	IGF1	IGF1R	1.3779399611120053e-13	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Pericytes	Alpha	IGF1	IGF1R	5.2883783579632796e-14	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/SST	Alpha	IGF1	IGF1R	2.195527172728707e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
INS/GCG	Alpha	IGF1	IGF1R	4.125606798850517e-15	0	IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	PMID: 14604834
Pericytes	Immune	IGF1	ITGA6_ITGB4	6.995091627950623e-15	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
INS/SST	Immune	IGF1	ITGA6_ITGB4	2.9040875493368924e-16	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
INS/GCG	Immune	IGF1	ITGA6_ITGB4	5.457059920196404e-16	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Duct	Duct	IGF1	ITGA6_ITGB4	5.6957624906456e-14	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Endothelial	Duct	IGF1	ITGA6_ITGB4	3.207032267077199e-14	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Pericytes	Duct	IGF1	ITGA6_ITGB4	1.4898903701632872e-12	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
INS/SST	Duct	IGF1	ITGA6_ITGB4	6.185440172020819e-14	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
INS/GCG	Duct	IGF1	ITGA6_ITGB4	1.1623037211519753e-13	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
PPY	Duct	IGF1	ITGA6_ITGB4	1.6945899041038538e-14	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Delta	Duct	IGF1	ITGA6_ITGB4	7.415612036602991e-14	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Beta	Duct	IGF1	ITGA6_ITGB4	1.1031186844468213e-12	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Duct	Endothelial	IGF1	ITGA6_ITGB4	5.012161099211706e-15	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Endothelial	Endothelial	IGF1	ITGA6_ITGB4	2.82212651942124e-15	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Pericytes	Endothelial	IGF1	ITGA6_ITGB4	1.3110747810037895e-13	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
INS/SST	Endothelial	IGF1	ITGA6_ITGB4	5.443068011893924e-15	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
INS/GCG	Endothelial	IGF1	ITGA6_ITGB4	1.0228048495778162e-14	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
PPY	Endothelial	IGF1	ITGA6_ITGB4	1.4912064206334219e-15	0.03	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Delta	Endothelial	IGF1	ITGA6_ITGB4	6.525595517313303e-15	0.04	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Beta	Endothelial	IGF1	ITGA6_ITGB4	9.707231590443654e-14	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Duct	Pericytes	IGF1	ITGA6_ITGB4	5.772807639243184e-14	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Endothelial	Pericytes	IGF1	ITGA6_ITGB4	3.250412987066405e-14	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Pericytes	Pericytes	IGF1	ITGA6_ITGB4	1.5100437435814939e-12	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
INS/SST	Pericytes	IGF1	ITGA6_ITGB4	6.269109068197651e-14	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
INS/GCG	Pericytes	IGF1	ITGA6_ITGB4	1.1780259117597382e-13	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
PPY	Pericytes	IGF1	ITGA6_ITGB4	1.7175121961023172e-14	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Delta	Pericytes	IGF1	ITGA6_ITGB4	7.515921158022556e-14	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Beta	Pericytes	IGF1	ITGA6_ITGB4	1.1180402938306553e-12	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
Pericytes	Acinar	IGF1	ITGA6_ITGB4	5.974446568917083e-14	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
INS/SST	Acinar	IGF1	ITGA6_ITGB4	2.480355772077993e-15	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
INS/GCG	Acinar	IGF1	ITGA6_ITGB4	4.660827141634842e-15	0	IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	PMID: 28190785; PMID: 28873464
