yourlist:M20211026A084FC58F6BBA219896F365D15F2EB442507C2G	isomap:M20211026A084FC58F6BBA219896F365D15F2EB442507C2G	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
ENSG00000273575		A0A0G2JMD1	A0A0G2JMD1_HUMAN	unreviewed	KIR2DL4 protein (Killer cell immunoglobulin-like receptor 2DL4)	KIR2DL4	Homo sapiens (Human)	399
ENSG00000273575		A0A0G2JQ39	A0A0G2JQ39_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4	KIR2DL4	Homo sapiens (Human)	256
ENSG00000278606,ENSG00000274945		A0A0G2JNI1	A0A0G2JNI1_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4	KIR2DL4	Homo sapiens (Human)	399
ENSG00000277850		A0A0G2JP28	A0A0G2JP28_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4	KIR2DL4	Homo sapiens (Human)	273
ENSG00000277076		A0A0G2JMF5	A0A0G2JMF5_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4	KIR2DL4	Homo sapiens (Human)	312
ENSG00000277076		A0A0G2JMV5	A0A0G2JMV5_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4	KIR2DL4	Homo sapiens (Human)	360
ENSG00000277076		A0A0G2JPE3	A0A0G2JPE3_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4	KIR2DL4	Homo sapiens (Human)	342
ENSG00000277076		A0A0G2JPN7	A0A0G2JPN7_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4	KIR2DL4	Homo sapiens (Human)	325
ENSG00000277076,ENSG00000275848		K7QUT1	K7QUT1_HUMAN	unreviewed	KIR2DL4 (Killer cell immunoglobulin-like receptor) (Killer cell immunoglobulin-like receptor 2DL4)	KIR2DL4	Homo sapiens (Human)	377
ENSG00000275317		A0A0G2JLZ7	A0A0G2JLZ7_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4 (Fragment)	KIR2DL4	Homo sapiens (Human)	246
ENSG00000275317		A0A0G2JNG7	A0A0G2JNG7_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4 (Fragment)	KIR2DL4	Homo sapiens (Human)	310
ENSG00000277850,ENSG00000275317		A0A0G2JQ13	A0A0G2JQ13_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4	KIR2DL4	Homo sapiens (Human)	230
ENSG00000277540		A0A0G2JNK6	A0A0G2JNK6_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4	KIR2DL4	Homo sapiens (Human)	312
ENSG00000277540		A0A0G2JPG6	A0A0G2JPG6_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4	KIR2DL4	Homo sapiens (Human)	416
ENSG00000278430		A0A0G2JLM0	A0A0G2JLM0_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4	KIR2DL4	Homo sapiens (Human)	312
ENSG00000277850,ENSG00000284206,ENSG00000284340,ENSG00000283986		A0A0C4ZNX8	A0A0C4ZNX8_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4 (Killer cell immunoglobulin-like receptor two domains long cytoplasmic tail 4) (Killer-cell immunoglobulin-like receptor)	KIR2DL4	Homo sapiens (Human)	377
ENSG00000274955,ENSG00000284206,ENSG00000284340,ENSG00000283986		A0A0G2JLM4	A0A0G2JLM4_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4	KIR2DL4	Homo sapiens (Human)	245
ENSG00000277850,ENSG00000284206,ENSG00000284340,ENSG00000283986		A0A0G2JNZ6	A0A0G2JNZ6_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4	KIR2DL4	Homo sapiens (Human)	325
ENSG00000274955,ENSG00000277850,ENSG00000278430,ENSG00000284206,ENSG00000284340,ENSG00000283986		A0A0G2JPS9	A0A0G2JPS9_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4	KIR2DL4	Homo sapiens (Human)	342
ENSG00000284206,ENSG00000284340,ENSG00000283986		A0A5K1U1N8	A0A5K1U1N8_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4	KIR2DL4	Homo sapiens (Human)	358
ENSG00000278606,ENSG00000274189,ENSG00000274945,ENSG00000284460,ENSG00000283869,ENSG00000284509		A0A0G2JN69	A0A0G2JN69_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4	KIR2DL4	Homo sapiens (Human)	416
ENSG00000284460,ENSG00000283869,ENSG00000284509		A0A1W2PQV0	A0A1W2PQV0_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4 (Fragment)	KIR2DL4	Homo sapiens (Human)	398
ENSG00000278606,ENSG00000274189,ENSG00000274945,ENSG00000284460,ENSG00000283869,ENSG00000284509		K7RE46	K7RE46_HUMAN	unreviewed	KIR2DL4 (Killer cell immunoglobulin-like receptor) (Killer cell immunoglobulin-like receptor 2DL4)	KIR2DL4	Homo sapiens (Human)	273
ENSG00000276044,ENSG00000275699,ENSG00000284562,ENSG00000284457		A0A0G2JLN0	A0A0G2JLN0_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4 (Killer cell immunoglobulin-like receptor 2DL4-like)	KIR2DL4 LOC112268354	Homo sapiens (Human)	245
ENSG00000278606,ENSG00000274945,ENSG00000284562,ENSG00000284460,ENSG00000283869,ENSG00000284509,ENSG00000284457		A0A0G2JMQ9	A0A0G2JMQ9_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4 (Killer cell immunoglobulin-like receptor 2DL4-like)	KIR2DL4 LOC112268354	Homo sapiens (Human)	325
ENSG00000275732,ENSG00000277355,ENSG00000274945,ENSG00000274193,ENSG00000278201,ENSG00000273498,ENSG00000277540,ENSG00000276979,ENSG00000284562,ENSG00000284460,ENSG00000283869,ENSG00000284509,ENSG00000284457		A0A0G2JNE8	A0A0G2JNE8_HUMAN	unreviewed	KIR2DL4 protein (Killer cell immunoglobulin-like receptor 2DL4) (Killer cell immunoglobulin-like receptor 2DL4-like)	KIR2DL4 LOC112268354	Homo sapiens (Human)	342
ENSG00000284562,ENSG00000284457		A0A5K1V8C4	A0A5K1V8C4_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4 (Killer cell immunoglobulin-like receptor 2DL4-like)	KIR2DL4 LOC112268354	Homo sapiens (Human)	358
ENSG00000275732,ENSG00000277355,ENSG00000274193,ENSG00000278201,ENSG00000273498,ENSG00000276979,ENSG00000284562,ENSG00000284457		Q86U48	Q86U48_HUMAN	unreviewed	KIR2DL4 (Killer cell immunoglobulin-like receptor 2DL4) (Killer cell immunoglobulin-like receptor 2DL4-like) (Killer cell immunoglobulin-like receptor two domains long cytoplasmic tail 4) (Killer-cell immunoglobulin-like receptor)	KIR2DL4 KIR-2DL4 LOC112268354	Homo sapiens (Human)	377
ENSG00000276779,ENSG00000278074,ENSG00000276044,ENSG00000273575,ENSG00000277964,ENSG00000274955,ENSG00000275699,ENSG00000277362,ENSG00000277750,ENSG00000278271,ENSG00000275317,ENSG00000275456,ENSG00000278430,ENSG00000274609,ENSG00000274232,ENSG00000284460,ENSG00000283961,ENSG00000284013,ENSG00000283869,ENSG00000284365,ENSG00000284509,ENSG00000189013	ENSG00000189013 -> Q99706-3;Q99706-4;Q99706-6,ENSG00000275699 -> Q99706-3,ENSG00000284365 -> Q99706-3;Q99706-4;Q99706-6,ENSG00000284013 -> Q99706-3;Q99706-4;Q99706-6,ENSG00000274232 -> Q99706-3;Q99706-4;Q99706-6,ENSG00000283869 -> Q99706-6,ENSG00000284509 -> Q99706-6,ENSG00000284460 -> Q99706-6,ENSG00000276044 -> Q99706-3,ENSG00000283961 -> Q99706-3;Q99706-4;Q99706-6,ENSG00000273575 -> Q99706-3	Q99706	KI2L4_HUMAN	reviewed	Killer cell immunoglobulin-like receptor 2DL4 (CD158 antigen-like family member D) (G9P) (Killer cell inhibitory receptor 103AS) (KIR-103AS) (MHC class I NK cell receptor KIR103AS) (CD antigen CD158d)	KIR2DL4 CD158D KIR103AS	Homo sapiens (Human)	377
ENSG00000276044,ENSG00000273575,ENSG00000275237,ENSG00000275699,ENSG00000274232,ENSG00000283961,ENSG00000284013,ENSG00000284365,ENSG00000189013		A0A0B4J1S6	A0A0B4J1S6_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor (Killer cell immunoglobulin-like receptor 2DL4)	KIR2DL4	Homo sapiens (Human)	273
ENSG00000283961,ENSG00000284013,ENSG00000284365,ENSG00000189013		A8MT18	A8MT18_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4 (Fragment)	KIR2DL4	Homo sapiens (Human)	398
ENSG00000276044,ENSG00000273575,ENSG00000275237,ENSG00000275699,ENSG00000274232,ENSG00000283961,ENSG00000284013,ENSG00000284365,ENSG00000189013		E7EST5	E7EST5_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4	KIR2DL4	Homo sapiens (Human)	416
ENSG00000284460,ENSG00000283961,ENSG00000284013,ENSG00000283869,ENSG00000284365,ENSG00000284509,ENSG00000189013		Q8N736	Q8N736_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DL4	KIR2DL4	Homo sapiens (Human)	247
ENSG00000273526		A0A0G2JNE3	A0A0G2JNE3_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DS4	KIR2DS4	Homo sapiens (Human)	398
ENSG00000274533		A0A0G2JMV9	A0A0G2JMV9_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DS4 (Fragment)	KIR2DS4	Homo sapiens (Human)	171
ENSG00000274921		A0A0C4ZN30	A0A0C4ZN30_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor (Killer cell immunoglobulin-like receptor 2DS4) (Killer cell immunoglobulin-like receptor two domains short cytoplasmic tail 4)	KIR2DS4	Homo sapiens (Human)	239
ENSG00000274921		A0A0G2JNN1	A0A0G2JNN1_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DS4	KIR2DS4	Homo sapiens (Human)	454
ENSG00000274921		A0A1W2PQ83	A0A1W2PQ83_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DS4	KIR2DS4	Homo sapiens (Human)	454
ENSG00000284244		A0A1W2PQM1	A0A1W2PQM1_HUMAN	unreviewed	Uncharacterized protein		Homo sapiens (Human)	296
ENSG00000284244		A0A1W2PR63	A0A1W2PR63_HUMAN	unreviewed	ig domain-containing protein		Homo sapiens (Human)	222
ENSG00000276885,ENSG00000274406,ENSG00000276395,ENSG00000274947,ENSG00000275731,ENSG00000275353,ENSG00000276154,ENSG00000274957,ENSG00000276634,ENSG00000284264,ENSG00000283882,ENSG00000283870		P43632	KI2S4_HUMAN	reviewed	Killer cell immunoglobulin-like receptor 2DS4 (CD158 antigen-like family member I) (MHC class I NK cell receptor) (Natural killer-associated transcript 8) (NKAT-8) (P58 natural killer cell receptor clones CL-39/CL-17) (p58 NK receptor CL-39/CL-17) (CD antigen CD158i)	KIR2DS4 CD158I KKA3 NKAT8	Homo sapiens (Human)	304
ENSG00000284264,ENSG00000283882,ENSG00000283870		A0A376A919	A0A376A919_HUMAN	unreviewed	KIR2DS4 protein (Killer cell immunoglobulin-like receptor 2DS4)	KIR2DS4	Homo sapiens (Human)	287
ENSG00000284264,ENSG00000283882,ENSG00000283870		A0A5F9ZHK4	A0A5F9ZHK4_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 2DS4	KIR2DS4	Homo sapiens (Human)	222
ENSG00000276379		A0A0G2JQ40	A0A0G2JQ40_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1 (Fragment)	KIR3DL1	Homo sapiens (Human)	219
ENSG00000275717		A0A0G2JNF3	A0A0G2JNF3_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	427
ENSG00000275717		A0A0G2JP89	A0A0G2JP89_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	349
ENSG00000275717		E0X074	E0X074_HUMAN	unreviewed	KIR3DL1 (Killer cell immunoglobulin-like receptor 3DL1)	KIR3DL1	Homo sapiens (Human)	444
ENSG00000275786		A0A0G2JLX2	A0A0G2JLX2_HUMAN	unreviewed	KIR3DL1 (Killer cell immunoglobulin-like receptor 3DL1)	KIR3DL1	Homo sapiens (Human)	444
ENSG00000275786		A0A0G2JMK7	A0A0G2JMK7_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	427
ENSG00000275786		A0A0G2JPH7	A0A0G2JPH7_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	349
ENSG00000275659		A0A0G2JN48	A0A0G2JN48_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	411
ENSG00000275659		A0A0G2JNM4	A0A0G2JNM4_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	444
ENSG00000273518		A0A0G2JM22	A0A0G2JM22_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	427
ENSG00000273518		Q6H2G1	Q6H2G1_HUMAN	unreviewed	KIR3DL1 (Killer cell immunoglobulin-like receptor 3DL1) (Natural killer cell inhibitory receptor)	KIR3DL1	Homo sapiens (Human)	444
ENSG00000278368		A0A0G2JPV6	A0A0G2JPV6_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	427
ENSG00000278368		Q8NHK7	Q8NHK7_HUMAN	unreviewed	KIR3DL1 (Killer cell immunoglobulin-like receptor 3DL1)	KIR3DL1	Homo sapiens (Human)	444
ENSG00000274146,ENSG00000274920		A0A0G2JN47	A0A0G2JN47_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	427
ENSG00000274146,ENSG00000274920		Q8N152	Q8N152_HUMAN	unreviewed	KIR3DL1 (Killer cell immunoglobulin-like receptor) (Killer cell immunoglobulin-like receptor 3DL1) (Natural killer cell inhibitory receptor)	KIR3DL1	Homo sapiens (Human)	444
ENSG00000273775,ENSG00000277272,ENSG00000278079,ENSG00000278856		A0A0G2JM66	A0A0G2JM66_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	427
ENSG00000273775,ENSG00000277272,ENSG00000278079,ENSG00000278856		Q6H2G3	Q6H2G3_HUMAN	unreviewed	KIR3DL1 (KIR3DL1 protein) (KIR3DL1/S1) (Killer cell immunoglobulin-like receptor) (Killer cell immunoglobulin-like receptor 3DL1) (Natural killer cell inhibitory receptor)	KIR3DL1	Homo sapiens (Human)	444
ENSG00000278427,ENSG00000277175		A0A0G2JNU1	A0A0G2JNU1_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	427
ENSG00000278427,ENSG00000277175		C4N360	C4N360_HUMAN	unreviewed	KIR3DL1 (KIR3DL1/S1) (Killer cell immunoglobulin-like receptor 3DL1)	KIR3DL1	Homo sapiens (Human)	444
ENSG00000284589,ENSG00000284093		A0A1W2PRK8	A0A1W2PRK8_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	349
ENSG00000275545,ENSG00000284589,ENSG00000284093		Q15702	Q15702_HUMAN	unreviewed	Killer cell Ig-like receptor variant (Killer cell immunoglobulin-like receptor 3DL1)	KIR3DL1	Homo sapiens (Human)	427
ENSG00000275545,ENSG00000284589,ENSG00000284093		Q5UCE1	Q5UCE1_HUMAN	unreviewed	KIR3DL1 (Killer cell immunoglobulin-like receptor 3DL1) (Killer cell immunoglobulin-like receptor three domains long cytoplasmic tail 1) (Killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1)	KIR3DL1	Homo sapiens (Human)	444
ENSG00000283827		A0A0C4ZN31	A0A0C4ZN31_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1 (Killer cell immunoglobulin-like receptor three domains long cytoplasmic tail 1)	KIR3DL1	Homo sapiens (Human)	444
ENSG00000283827		A0A1W2PPM9	A0A1W2PPM9_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	349
ENSG00000283827		A0A1W2PPW5	A0A1W2PPW5_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	427
ENSG00000283954		A0A1W2PQC9	A0A1W2PQC9_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	349
ENSG00000283954		A0A1W2PQG9	A0A1W2PQG9_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	427
ENSG00000274948,ENSG00000283954		Q5UCD9	Q5UCD9_HUMAN	unreviewed	KIR3DL1 (Killer cell immunoglobulin-like receptor) (Killer cell immunoglobulin-like receptor 3DL1) (Killer cell immunoglobulin-like receptor three domains long cytoplasmic tail 1)	KIR3DL1 KIR3DL13DL1*00402_extension_1	Homo sapiens (Human)	444
ENSG00000283729		A0A0C4ZLQ8	A0A0C4ZLQ8_HUMAN	unreviewed	KIR3DL1 (Killer cell immunoglobulin-like receptor 3DL1) (Killer cell immunoglobulin-like receptor three domains long cytoplasmic tail 1) (Natural killer cell inhibitory receptor)	KIR3DL1	Homo sapiens (Human)	444
ENSG00000283729		A0A1W2PP93	A0A1W2PP93_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	427
ENSG00000283729		A0A1W2PS07	A0A1W2PS07_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	349
ENSG00000283731,ENSG00000284177		A0A0G2JPC2	A0A0G2JPC2_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	427
ENSG00000283731,ENSG00000284177		A0A1W2PNX4	A0A1W2PNX4_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	349
ENSG00000276501,ENSG00000276329,ENSG00000275486,ENSG00000283731,ENSG00000284177		Q5UCD8	Q5UCD8_HUMAN	unreviewed	KIR3DL1 (KIR3DL1/S1) (Killer cell immunoglobulin-like receptor) (Killer cell immunoglobulin-like receptor 3DL1) (Killer cell immunoglobulin-like receptor three domains long cytoplasmic tail 1) (Natural killer cell inhibitory receptor)	KIR3DL1	Homo sapiens (Human)	444
ENSG00000276423,ENSG00000275288,ENSG00000274036,ENSG00000284342,ENSG00000284426,ENSG00000167633	ENSG00000274036 -> P43629-1,ENSG00000167633 -> P43629-1;P43629-2,ENSG00000284342 -> P43629-1;P43629-2,ENSG00000284426 -> P43629-1;P43629-2,ENSG00000275288 -> P43629-1,ENSG00000276423 -> P43629-1	P43629	KI3L1_HUMAN	reviewed	Killer cell immunoglobulin-like receptor 3DL1 (CD158 antigen-like family member E) (HLA-BW4-specific inhibitory NK cell receptor) (MHC class I NK cell receptor) (Natural killer-associated transcript 3) (NKAT-3) (p70 natural killer cell receptor clones CL-2/CL-11) (p70 NK receptor CL-2/CL-11) (CD antigen CD158e)	KIR3DL1 CD158E NKAT3 NKB1	Homo sapiens (Human)	444
ENSG00000284342,ENSG00000284426,ENSG00000167633		W5QJC1	W5QJC1_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL1	KIR3DL1	Homo sapiens (Human)	427
ENSG00000273735		A0A0G2JNA1	A0A0G2JNA1_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	Homo sapiens (Human)	222
ENSG00000273735		A0A0G2JP59	A0A0G2JP59_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2 (Fragment)	KIR3DL2	Homo sapiens (Human)	333
ENSG00000276424		A0A0G2JM59	A0A0G2JM59_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	Homo sapiens (Human)	438
ENSG00000276424		A0A0G2JPQ5	A0A0G2JPQ5_HUMAN	unreviewed	KIR3DL2 (Killer cell immunoglobulin-like receptor) (Killer cell immunoglobulin-like receptor 3DL2)	KIR3DL2	Homo sapiens (Human)	455
ENSG00000275511		A0A0G2JMA3	A0A0G2JMA3_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	Homo sapiens (Human)	455
ENSG00000275511		A0A0G2JNN5	A0A0G2JNN5_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	Homo sapiens (Human)	438
ENSG00000278850		A0A0G2JLM7	A0A0G2JLM7_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	Homo sapiens (Human)	438
ENSG00000278850		Q6H2F6	Q6H2F6_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2 (Natural killer cell inhibitory receptor)	KIR3DL2	Homo sapiens (Human)	455
ENSG00000276004		A0A0G2JMI1	A0A0G2JMI1_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	Homo sapiens (Human)	438
ENSG00000275262		A0A0G2JLZ4	A0A0G2JLZ4_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	Homo sapiens (Human)	455
ENSG00000275262		A0A0G2JP67	A0A0G2JP67_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	Homo sapiens (Human)	438
ENSG00000278726		A0A0G2JLU7	A0A0G2JLU7_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	Homo sapiens (Human)	455
ENSG00000278726		A0A0G2JN45	A0A0G2JN45_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	Homo sapiens (Human)	438
ENSG00000278656		A0A0G2JPA6	A0A0G2JPA6_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	Homo sapiens (Human)	438
ENSG00000278656		Q9BQU0	Q9BQU0_HUMAN	unreviewed	Inhibitory NK receptor (KIR3DL2) (Killer cell immunoglobulin-like receptor) (Killer cell immunoglobulin-like receptor 3DL2)	KIR3DL2 kir3d	Homo sapiens (Human)	455
ENSG00000277709		K7R1T8	K7R1T8_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2 (Truncated KIR3DL2) (Fragment)	KIR3DL2	Homo sapiens (Human)	118
ENSG00000275838		A0A0G2JLP2	A0A0G2JLP2_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	Homo sapiens (Human)	455
ENSG00000275838		A0A0G2JMW7	A0A0G2JMW7_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	Homo sapiens (Human)	438
ENSG00000273911		A0A0G2JPL0	A0A0G2JPL0_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor (Killer cell immunoglobulin-like receptor 3DL2) (Fragment)	KIR3DL2	Homo sapiens (Human)	333
ENSG00000277982,ENSG00000278758,ENSG00000276882,ENSG00000278403,ENSG00000278707,ENSG00000284466		A0A0G2JM36	A0A0G2JM36_HUMAN	unreviewed	KIR3DL2 protein (Killer cell immunoglobulin-like receptor 3DL2)	KIR3DL2	Homo sapiens (Human)	438
ENSG00000277982,ENSG00000278758,ENSG00000276882,ENSG00000278403,ENSG00000278707,ENSG00000284466		A0A0G2JP93	A0A0G2JP93_HUMAN	unreviewed	3DL2 (KIR3DL2) (KIR3DL2 protein) (Killer cell immunoglobulin-like receptor) (Killer cell immunoglobulin-like receptor 2DL2) (Killer cell immunoglobulin-like receptor 3DL2) (Killer cell immunoglobulin-like receptor three domains long cytoplasmic tail 2)	KIR3DL2 3DL2	Homo sapiens (Human)	455
ENSG00000278474,ENSG00000278442,ENSG00000275626,ENSG00000275416,ENSG00000276357,ENSG00000278361,ENSG00000275566,ENSG00000284046,ENSG00000284192		A0A0G2JMS0	A0A0G2JMS0_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	Homo sapiens (Human)	438
ENSG00000284046,ENSG00000284192		A0A0U5GHD6	A0A0U5GHD6_HUMAN	unreviewed	KIR3DL2 (Killer cell immunoglobulin-like receptor) (Killer cell immunoglobulin-like receptor 3DL2) (Killer cell immunoglobulin-like receptor three domains long cytoplasmic tail 2)	KIR3DL2	Homo sapiens (Human)	455
ENSG00000284384		A0A0U1WNF5	A0A0U1WNF5_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor (Killer cell immunoglobulin-like receptor 3DL2)	KIR3DL2	Homo sapiens (Human)	455
ENSG00000284384		A0A1W2PQJ3	A0A1W2PQJ3_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	Homo sapiens (Human)	438
ENSG00000278710,ENSG00000275629,ENSG00000284213		A0A0G2JLX7	A0A0G2JLX7_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	Homo sapiens (Human)	438
ENSG00000278710,ENSG00000275629,ENSG00000284213		Q8NHK6	Q8NHK6_HUMAN	unreviewed	KIR3DL2 (Killer cell immunoglobulin-like receptor 3DL2) (Killer cell immunoglobulin-like receptor three domains long cytoplasmic tail 2) (Natural killer cell inhibitory receptor)	KIR3DL2	Homo sapiens (Human)	455
ENSG00000284295		A0A191URK3	A0A191URK3_HUMAN	unreviewed	KIR3DL2 protein (Killer cell immunoglobulin-like receptor 3DL2) (Killer cell immunoglobulin-like receptor three domains long cytoplasmic tail 2)	KIR3DL2	Homo sapiens (Human)	455
ENSG00000284295		A0A1W2PP69	A0A1W2PP69_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	Homo sapiens (Human)	438
ENSG00000284528		A0A120N617	A0A120N617_HUMAN	unreviewed	KIR3DL2 (Killer cell immunoglobulin-like receptor 3DL2)	KIR3DL2	Homo sapiens (Human)	455
ENSG00000284528		A0A1W2PPV3	A0A1W2PPV3_HUMAN	unreviewed	Killer cell immunoglobulin-like receptor 3DL2	KIR3DL2	Homo sapiens (Human)	438
ENSG00000274722,ENSG00000276004,ENSG00000278474,ENSG00000278442,ENSG00000275626,ENSG00000275083,ENSG00000275416,ENSG00000276357,ENSG00000278809,ENSG00000278361,ENSG00000276739,ENSG00000275566,ENSG00000277181,ENSG00000283951,ENSG00000284381,ENSG00000283975,ENSG00000284063,ENSG00000240403	ENSG00000277181 -> P43630-1;P43630-2,ENSG00000284381 -> P43630-1;P43630-2,ENSG00000275083 -> P43630-1;P43630-2,ENSG00000240403 -> P43630-1;P43630-2,ENSG00000284063 -> P43630-1;P43630-2,ENSG00000276739 -> P43630-1;P43630-2,ENSG00000283975 -> P43630-1;P43630-2,ENSG00000278809 -> P43630-1;P43630-2,ENSG00000274722 -> P43630-1;P43630-2,ENSG00000283951 -> P43630-1;P43630-2	P43630	KI3L2_HUMAN	reviewed	Killer cell immunoglobulin-like receptor 3DL2 (CD158 antigen-like family member K) (MHC class I NK cell receptor) (Natural killer-associated transcript 4) (NKAT-4) (p70 natural killer cell receptor clone CL-5) (p70 NK receptor CL-5) (CD antigen CD158k)	KIR3DL2 CD158K NKAT4	Homo sapiens (Human)	455
